Rxx(Ohm),B(mT)
373.20065,150.0047254
373.32214,149.7044156
373.76773,149.4041059
372.47778,149.1037961
372.47778,148.8034864
374.03406,148.5031766
373.49023,148.2028668
373.39505,147.9025571
371.70432,147.6022473
372.21054,147.3019376
371.72861,147.0016278
371.14948,146.701318
370.23224,146.4010083
370.23224,146.1006985
369.79691,145.8003888
370.36465,145.500079
370.85995,145.1997692
370.4003,144.8994595
371.29324,144.5991497
370.28085,144.2988399
370.64328,143.9985302
370.74942,143.6982204
372.02924,143.3979107
371.80148,143.0976009
371.87439,142.7972911
372.67017,142.4969814
373.99847,142.1966716
374.55325,141.8963619
374.28799,141.5960521
373.56311,141.2957423
372.71875,140.9954326
371.22238,140.6951228
372.21054,140.3948131
372.79166,140.0945033
372.45352,139.7941935
371.87439,139.4938838
372.25909,139.193574
371.82581,138.8932643
372.01816,138.5929545
371.77719,138.2926447
371.92096,137.992335
371.89667,137.6920252
371.92096,137.3917155
373.02066,137.0914057
371.96957,136.7910959
372.36743,136.4907862
371.92096,136.1904764
371.80148,135.8901667
371.89667,135.5898569
372.75421,135.2895471
371.70432,134.9892374
370.52179,134.6889276
370.65427,134.3886179
370.38898,134.0883081
371.02798,133.7879983
370.03989,133.4876886
371.41473,133.1873788
370.93283,132.887069
371.41473,132.5867593
370.98145,132.2864495
371.1738,131.9861398
371.92096,131.68583
371.43906,131.3855202
371.53622,131.0852105
369.99127,130.7849007
371.73969,130.484591
371.7529,130.1842812
370.78705,129.8839714
370.32944,129.5836617
370.64328,129.2833519
372.27023,128.9830422
372.67017,128.6827324
372.33203,128.3824226
372.09106,128.0821129
372.28342,127.7818031
371.6557,127.4814934
371.29324,127.1811836
371.49869,126.8808738
371.70432,126.5805641
371.53622,126.2802543
372.88681,125.9799446
373.85266,125.6796348
373.15207,125.379325
374.32361,125.0790153
373.39505,124.7787055
373.62296,124.4783958
373.39505,124.178086
373.46591,123.8777762
373.85266,123.5774665
374.11792,123.2771567
372.4292,122.9768469
371.56055,122.6765372
370.90854,122.3762274
370.61899,122.0759177
371.6557,121.7756079
372.09106,121.4752981
371.82581,121.1749884
371.41473,120.8746786
372.01816,120.5743689
371.7529,120.2740591
371.25717,119.9737493
370.18362,119.6734396
370.64328,119.3731298
370.73846,119.0728201
370.76276,118.7725103
369.48303,118.4722005
370.83563,118.1718908
370.81134,117.871581
370.23224,117.5712713
370.89523,117.2709615
370.56879,116.9706517
370.77374,116.670342
370.73846,116.3700322
370.47321,116.0697225
370.06418,115.7694127
371.48764,115.4691029
372.40491,115.1687932
370.52179,114.8684834
370.11075,114.5681737
369.99127,114.2678639
370.42459,113.9675541
371.10089,113.6672444
369.79691,113.3669346
371.29324,113.0666249
371.72861,112.7663151
370.66757,112.4660053
371.7529,112.1656956
369.86978,111.8653858
370.03989,111.565076
370.18362,111.2647663
370.42459,110.9644565
369.41217,110.6641468
369.75034,110.363837
369.58023,110.0635272
370.37601,109.7632175
370.5947,109.4629077
370.25653,109.162598
367.69711,108.8622882
368.25192,108.5619784
368.34912,108.2616687
368.77094,107.9613589
369.38788,107.6610492
368.90393,107.3607394
368.01096,107.0604296
367.98669,106.7601199
368.08386,106.4598101
367.86722,106.1595004
368.01096,105.8591906
367.93808,105.5588808
368.33762,105.2585711
368.73587,104.9582613
369.0983,104.6579516
368.90393,104.3576418
370.03989,104.057332
369.8941,103.7570223
369.41217,103.4567125
368.95255,103.1564028
369.24207,102.856093
371.0766,102.5557832
371.14948,102.2554735
370.18362,101.9551637
369.62885,101.6548539
369.77258,101.3545442
369.60452,101.0542344
369.8941,100.7539247
369.8941,100.4536149
370.25653,100.1533051
369.75034,99.85299539
370.66757,99.55268563
370.37601,99.25237587
370.03989,98.9520661
369.94269,98.65175634
370.06418,98.35144658
369.80954,98.05113682
369.43649,97.75082706
369.50732,97.4505173
370.52179,97.15020754
368.80878,96.84989778
368.83307,96.54958802
368.76016,96.24927826
368.5192,95.9489685
368.47061,95.64865874
368.61438,95.34834898
368.90393,95.04803922
369.07404,94.74772946
368.27621,94.4474197
369.19348,94.14710994
368.92822,93.84680018
368.64944,93.54649041
368.97681,93.24618065
369.19348,92.94587089
370.15936,92.64556113
369.58023,92.34525137
369.94269,92.04494161
369.60452,91.74463185
369.38788,91.44432209
368.76016,91.14401233
368.5192,90.84370257
366.54947,90.54339281
366.00839,90.24308305
368.07028,89.94277329
370.57037,89.64246353
370.5947,89.34215377
369.94269,89.04184401
369.50732,88.74153425
369.75034,88.44122449
369.79691,88.14091472
369.60452,87.84060496
369.65314,87.5402952
370.77374,87.23998544
370.15936,86.93967568
369.47162,86.63936592
371.00372,86.33905616
371.00372,86.0387464
369.36356,85.73843664
369.24207,85.43812688
370.0282,85.13781712
369.79691,84.83750736
370.42459,84.5371976
370.44888,84.23688784
370.4975,83.93657808
369.82117,83.63626832
368.47061,83.33595856
369.04971,83.03564879
369.86978,82.73533903
369.26639,82.43502927
370.08643,82.13471951
369.77258,81.83440975
370.15936,81.53409999
370.03989,81.23379023
369.82117,80.93348047
370.06418,80.63317071
368.71158,80.33286095
370.28085,80.03255119
370.83563,79.73224143
370.25653,79.43193167
368.71158,79.13162191
370.23224,78.83131215
369.82117,78.53100239
369.70172,78.23069263
369.0983,77.93038287
370.01559,77.6300731
370.08643,77.32976334
370.44888,77.02945358
370.66757,76.72914382
368.47061,76.42883406
368.5658,76.1285243
367.77002,75.82821454
367.88004,75.52790478
367.8186,75.22759502
367.60196,74.92728526
367.74573,74.6269755
367.75641,74.32666574
367.0694,74.02635598
367.69711,73.72604622
366.85275,73.42573646
366.6604,73.1254267
368.37341,72.82511694
369.12262,72.52480718
368.27621,72.22449741
367.2395,71.92418765
367.10663,71.62387789
367.72144,71.32356813
367.57767,71.02325837
367.31241,70.72294861
367.33466,70.42263885
366.41742,70.12232909
366.22504,69.82201933
367.14233,69.52170957
367.45618,69.22139981
366.42999,68.92109005
365.07727,68.62078029
364.92105,68.32047053
364.8259,68.02016077
365.47787,67.71985101
364.89673,67.41954125
365.95978,67.11923149
364.77728,66.81892172
363.66562,66.51861196
362.55603,66.2183022
363.86002,65.91799244
364.8259,65.61768268
362.91849,65.31737292
363.12415,65.01706316
362.36365,64.7167534
362.65323,64.41644364
362.33936,64.11613388
362.4588,63.81582412
363.3761,63.51551436
361.3978,63.2152046
361.63876,62.91489484
362.4588,62.61458508
361.1926,62.31427532
360.74582,62.01396556
359.68478,61.7136558
359.68478,61.41334603
359.29803,61.11303627
359.03278,60.81272651
359.39319,60.51241675
359.91504,60.21210699
359.70703,59.91179723
358.83838,59.61148747
357.77737,59.31117771
358.01831,59.01086795
358.88699,58.71055819
359.15225,58.41024843
359.22513,58.10993867
357.68018,57.80962891
356.88443,57.50931915
357.6073,57.20900939
357.17395,56.90869963
357.65588,56.60838987
356.95526,56.30808011
355.76248,56.00777034
354.24194,55.70746058
354.15692,55.40715082
353.74588,55.10684106
353.6973,54.8065313
353.62439,54.50622154
352.97238,54.20591178
353.31055,53.90560202
354.02533,53.60529226
352.60199,53.3049825
351.33228,53.00467274
351.04269,52.70436298
350.46359,52.40405322
350.99411,52.10374346
351.23505,51.8034337
