Rxx(Ohm),B(mT)
352.66983,120.8746786
352.82861,120.5743689
352.51477,120.2740591
352.32242,119.9737493
352.44186,119.6734396
352.32242,119.3731298
353.40771,119.0728201
352.75574,118.7725103
352.78003,118.4722005
352.39328,118.1718908
351.93567,117.871581
352.44186,117.5712713
352.34671,117.2709615
352.03287,116.9706517
352.56335,116.670342
352.61197,116.3700322
353.19107,116.0697225
352.4176,115.7694127
352.74069,115.4691029
352.33163,115.1687932
352.58768,114.8684834
352.51477,114.5681737
352.2981,114.2678639
351.30795,113.9675541
351.71899,113.6672444
352.53909,113.3669346
352.22522,113.0666249
350.99411,112.7663151
351.76556,112.4660053
351.47601,112.1656956
351.30795,111.8653858
351.94485,111.565076
352.22522,111.2647663
351.6218,110.9644565
351.18646,110.6641468
351.83847,110.363837
353.04529,110.0635272
351.6218,109.7632175
351.81418,109.4629077
351.99344,109.162598
352.85294,108.8622882
351.5975,108.5619784
353.09387,108.2616687
351.40515,107.9613589
351.09128,107.6610492
351.86276,107.3607394
351.67041,107.0604296
350.47266,106.7601199
349.88449,106.4598101
349.13528,106.1595004
349.81158,105.8591906
349.44913,105.5588808
350.19833,105.2585711
349.93106,104.9582613
349.8602,104.6579516
351.31708,104.3576418
352.44186,104.057332
351.35654,103.7570223
351.23505,103.4567125
351.25937,103.1564028
350.96982,102.856093
351.74329,102.5557832
351.6947,102.2554735
350.2692,101.9551637
350.60736,101.6548539
350.9212,101.3545442
350.28375,101.0542344
350.31781,100.7539247
350.07684,100.4536149
350.51218,100.1533051
350.65594,99.85299539
350.14001,99.55268563
350.5733,99.25237587
352.50482,98.9520661
352.10373,98.65175634
350.70456,98.35144658
350.00397,98.05113682
350.4393,97.75082706
350.3421,97.4505173
350.23517,97.15020754
349.80188,96.84989778
349.53665,96.54958802
352.03287,96.24927826
351.18646,95.9489685
350.46359,95.64865874
351.06702,95.34834898
350.80176,95.04803922
349.78729,94.74772946
348.96722,94.4474197
348.45898,94.14710994
349.763,93.84680018
349.90878,93.54649041
349.30536,93.24618065
349.20819,92.94587089
349.18387,92.64556113
348.55618,92.34525137
348.45898,92.04494161
349.81158,91.74463185
349.93106,91.44432209
350.53445,91.14401233
349.52203,90.84370257
349.64151,90.54339281
348.79715,90.24308305
348.96722,89.94277329
349.69009,89.64246353
350.68027,89.34215377
349.06238,89.04184401
349.64151,88.74153425
349.61722,88.44122449
350.53445,88.14091472
349.95535,87.84060496
349.71442,87.5402952
349.52203,87.23998544
350.05255,86.93967568
349.93106,86.63936592
350.51218,86.33905616
349.8602,86.0387464
351.76556,85.73843664
351.0184,85.43812688
350.22266,85.13781712
352.00858,84.83750736
353.021,84.5371976
351.83847,84.23688784
349.71442,83.93657808
350.2692,83.63626832
350.29352,83.33595856
350.71906,83.03564879
350.39069,82.73533903
349.7533,82.43502927
350.22266,82.13471951
349.94565,81.83440975
349.20819,81.53409999
349.23248,81.23379023
349.30536,80.93348047
350.17404,80.63317071
349.57065,80.33286095
349.47345,80.03255119
349.6658,79.73224143
349.73871,79.43193167
349.15961,79.13162191
351.16217,78.83131215
350.72885,78.53100239
350.70456,78.23069263
349.54633,77.93038287
350.24493,77.6300731
351.64612,77.32976334
349.64151,77.02945358
349.90878,76.72914382
349.37625,76.42883406
348.55618,76.1285243
349.32764,75.82821454
349.13528,75.52790478
350.05255,75.22759502
349.78729,74.92728526
348.97989,74.6269755
348.31522,74.32666574
348.74854,74.02635598
348.87003,73.72604622
348.31522,73.42573646
348.58047,73.1254267
348.33951,72.82511694
348.19376,72.52480718
348.65338,72.22449741
347.51743,71.92418765
347.63892,71.62387789
347.9285,71.32356813
348.72424,71.02325837
348.29092,70.72294861
347.85559,70.42263885
349.05276,70.12232909
348.78754,69.82201933
348.12085,69.52170957
348.33951,69.22139981
348.45898,68.92109005
352.07941,68.62078029
351.63623,68.32047053
349.13528,68.02016077
349.40057,67.71985101
348.5076,67.41954125
349.20819,67.11923149
349.54633,66.81892172
348.62909,66.51861196
348.00137,66.2183022
348.29092,65.91799244
348.36383,65.61768268
347.76041,65.31737292
348.49802,65.01706316
348.38812,64.7167534
348.24234,64.41644364
348.77286,64.11613388
348.26663,63.81582412
347.49313,63.51551436
348.09653,63.2152046
348.24234,62.91489484
348.91861,62.61458508
348.07425,62.31427532
347.95279,62.01396556
348.07425,61.7136558
348.33951,61.41334603
347.85559,61.11303627
348.30566,60.81272651
347.58084,60.51241675
349.44913,60.21210699
348.96722,59.91179723
347.42227,59.61148747
347.48364,59.31117771
349.2937,59.01086795
348.4104,58.71055819
348.25708,58.41024843
347.47086,58.10993867
346.79456,57.80962891
347.49313,57.50931915
348.72424,57.20900939
346.69736,56.90869963
346.86545,56.60838987
347.22791,56.30808011
346.98694,56.00777034
345.90158,55.70746058
346.33493,55.40715082
346.32556,55.10684106
348.29092,54.8065313
346.16684,54.50622154
346.11826,54.20591178
346.23975,53.90560202
346.04535,53.60529226
346.38351,53.3049825
345.99677,53.00467274
346.31061,52.70436298
345.67361,52.40405322
345.45697,52.10374346
345.56345,51.8034337
345.90158,51.50312394
345.90158,51.20281418
344.6705,50.90250442
345.32248,50.60219465
347.13272,50.30188489
347.9285,50.00157513
347.59912,49.70126537
347.15701,49.40095561
344.93573,49.10064585
345.2496,48.80033609
346.06967,48.50002633
346.28632,48.19971657
346.38351,47.89940681
344.42752,47.59909705
344.78998,47.29878729
