Rxx(Ohm),T(mK)
360.66214,122.0759177
360.1181,121.7756079
360.29974,121.4752981
360.55423,121.1749884
360.46982,120.8746786
360.39691,120.5743689
360.35907,120.2740591
360.97595,119.9737493
360.16669,119.6734396
360.77286,119.3731298
361.2655,119.0728201
360.54269,118.7725103
360.31046,118.4722005
362.38797,118.1718908
362.09888,117.871581
361.67651,117.5712713
363.63028,117.2709615
362.00119,116.9706517
361.6279,116.670342
361.61444,116.3700322
361.05966,116.0697225
361.1575,115.7694127
360.32404,115.4691029
359.60123,115.1687932
361.00024,114.8684834
360.71075,114.5681737
361.12173,114.2678639
361.24118,113.9675541
360.90308,113.6672444
360.16956,113.3669346
360.41049,113.0666249
360.6972,112.7663151
360.23959,112.4660053
359.89075,112.1656956
361.68735,111.8653858
361.68735,111.565076
360.4212,111.2647663
360.41049,110.9644565
359.11734,110.6641468
359.45544,110.363837
359.77997,110.0635272
360.74582,109.7632175
362.07413,109.4629077
361.48212,109.162598
361.78506,108.8622882
362.27985,108.5619784
360.83221,108.2616687
360.92737,107.9613589
362.02551,107.6610492
359.96161,107.3607394
359.35828,107.0604296
359.336,106.7601199
359.79355,106.4598101
359.45544,106.1595004
359.64981,105.8591906
359.06873,105.5588808
358.57315,105.2585711
358.94928,104.9582613
358.97357,104.6579516
358.34595,104.3576418
358.8764,104.057332
359.38257,103.7570223
359.745,103.4567125
359.95004,103.1564028
359.89075,102.856093
359.31171,102.5557832
359.90436,102.2554735
361.09744,101.9551637
359.96161,101.6548539
359.89075,101.3545442
360.95169,101.0542344
360.84299,100.7539247
360.93817,100.4536149
360.58926,100.1533051
360.4455,99.85299539
362.95609,99.55268563
362.73743,99.25237587
363.12415,98.9520661
361.41129,98.65175634
360.56699,98.35144658
360.71075,98.05113682
360.68643,97.75082706
360.09668,97.4505173
360.25314,97.15020754
359.56628,96.84989778
360.0831,96.54958802
359.2388,96.24927826
359.41751,95.9489685
360.0452,95.64865874
360.56699,95.34834898
359.56326,95.04803922
359.02219,94.74772946
359.336,94.4474197
359.35828,94.14710994
358.81723,93.84680018
358.94928,93.54649041
359.22513,93.24618065
361.17035,92.94587089
359.91504,92.64556113
358.44107,92.34525137
360.31329,92.04494161
359.80719,91.74463185
359.28738,91.44432209
359.6362,91.14401233
359.58759,90.84370257
359.81787,90.54339281
360.20459,90.24308305
359.69638,89.94277329
359.79355,89.64246353
360.78363,89.34215377
360.19098,89.04184401
359.03278,88.74153425
359.35828,88.44122449
360.01019,88.14091472
359.34662,87.84060496
358.77924,87.5402952
358.48969,87.23998544
358.98416,86.93967568
358.47592,86.63936592
358.61118,86.33905616
358.61118,86.0387464
357.76688,85.73843664
357.88635,85.43812688
357.22256,85.13781712
357.2691,84.83750736
358.64603,84.5371976
359.67209,84.23688784
359.27676,83.93657808
359.4205,83.63626832
359.00952,83.33595856
357.54822,83.03564879
356.46301,82.73533903
355.82135,82.43502927
355.94284,82.13471951
355.28061,81.83440975
356.70395,81.53409999
355.52155,81.23379023
355.07602,80.93348047
356.31723,80.63317071
356.94489,80.33286095
356.93448,80.03255119
356.80112,79.73224143
355.98114,79.43193167
355.78677,79.13162191
356.40048,78.83131215
357.28299,78.53100239
359.77997,78.23069263
357.89682,77.93038287
356.77682,77.6300731
356.84973,77.32976334
359.14163,77.02945358
359.02219,76.72914382
357.52393,76.42883406
357.38016,76.1285243
357.694,75.82821454
357.18784,75.52790478
356.94489,75.22759502
357.19968,74.92728526
356.88589,74.6269755
357.11493,74.32666574
357.24826,74.02635598
357.10452,73.72604622
357.93494,73.42573646
356.7872,73.1254267
357.29343,72.82511694
357.81549,72.52480718
357.40448,72.22449741
356.63104,71.92418765
355.90823,71.62387789
356.19778,71.32356813
355.58038,71.02325837
358.33218,70.72294861
356.17346,70.42263885
355.83536,70.12232909
355.47296,69.82201933
355.49725,69.52170957
355.6673,69.22139981
355.49725,68.92109005
355.7139,68.62078029
355.76248,68.32047053
356.32758,68.02016077
356.24637,67.71985101
356.39011,67.41954125
356.57211,67.11923149
355.31897,66.81892172
355.32919,66.51861196
355.37781,66.2183022
355.68958,65.91799244
355.41235,65.61768268
355.00128,65.31737292
355.11053,65.01706316
356.67966,64.7167534
357.45306,64.41644364
356.57211,64.11613388
358.30789,63.81582412
355.84564,63.51551436
355.68958,63.2152046
355.02945,62.91489484
355.3049,62.61458508
355.37781,62.31427532
356.03802,62.01396556
355.2077,61.7136558
355.93256,61.41334603
355.35349,61.11303627
355.98114,60.81272651
355.23203,60.51241675
353.61432,60.21210699
354.26627,59.91179723
353.88965,59.61148747
352.86722,59.31117771
353.03525,59.01086795
353.63861,58.71055819
353.6973,58.41024843
354.03543,58.10993867
354.26627,57.80962891
353.54346,57.50931915
353.44629,57.20900939
352.90152,56.90869963
355.03967,56.60838987
352.82861,56.30808011
352.26385,56.00777034
352.5777,55.70746058
352.16669,55.40715082
351.51474,55.10684106
353.49484,54.8065313
352.51477,54.50622154
351.87717,54.20591178
353.18103,53.90560202
352.67285,53.60529226
352.0209,53.3049825
351.34671,53.00467274
353.021,52.70436298
350.88712,52.40405322
351.0329,52.10374346
350.5733,51.8034337
350.01852,51.50312394
349.56094,51.20281418
349.85046,50.90250442
349.52698,50.60219465
349.91162,50.30188489
349.21317,50.00157513
349.91162,49.70126537
351.42944,49.40095561
350.45383,49.10064585
348.30566,48.80033609
348.27182,48.50002633
347.73938,48.19971657
349.87476,47.89940681
350.24973,47.59909705
351.21539,47.29878729
349.05276,46.99847753
349.13528,46.69816777
348.06268,46.39785801
347.79749,46.09754825
346.92889,45.79723849
347.3399,45.49692872
347.58084,45.19661896
346.66367,44.8963092
346.70285,44.59599944
346.05099,44.29568968
345.61572,43.99537992
345.60275,43.69507016
346.44705,43.3947604
346.40781,43.09445064
345.10382,42.79414088
345.40839,42.49383112
345.66431,42.19352136
344.80502,41.8932116
344.49121,41.59290184
344.39404,41.29259208
343.60745,40.99228232
343.10123,40.69197256
342.90683,40.3916628
343.47684,40.09135303
344.05792,39.79104327
344.37177,39.49073351
343.64694,39.19042375
343.79068,38.89011399
342.44922,38.58980423
342.02924,38.28949447
342.25687,37.98918471
342.46454,37.68887495
341.20923,37.38856519
341.23355,37.08825543
342.82697,36.78794567
341.15179,36.48763591
341.08777,36.18732615
342.95544,35.88701639
342.36734,35.58670663
339.90536,35.28639687
338.7316,34.98608711
338.5929,34.68577734
338.02243,34.38546758
338.42484,34.08515782
338.64145,33.78484806
338.61716,33.4845383
336.80728,33.18422854
335.4653,32.88391878
335.77911,32.58360902
336.16382,32.28329926
336.93719,31.9829895
336.72058,31.68267974
335.00568,31.38236998
333.77472,31.08206022
333.69366,30.78175046
333.99338,30.4814407
332.27847,30.18113094
331.57797,29.88082118
331.86951,29.58051142
331.74802,29.28020165
330.80655,28.97989189
332.78668,28.67958213
330.73367,28.37927237
329.59213,28.07896261
330.92804,27.77865285
329.35892,27.47834309
328.30359,27.17803333
328.30359,26.87772357
328.51465,26.57741381
327.11359,26.27710405
325.93121,25.97679429
326.84088,25.67648453
325.83398,25.37617477
324.7901,25.07586501
324.45203,24.77555525
322.72009,24.47524549
321.8342,24.17493573
321.10443,23.87462596
320.23584,23.5743162
320.50107,23.27400644
318.75519,22.97369668
318.18283,22.67338692
316.78378,22.37307716
316.39709,22.0727674
315.96381,21.77245764
315.33615,21.47214788
315.91522,21.17183812
314.33984,20.87152836
313.73654,20.5712186
313.38034,20.27090884
312.48746,19.97059908
310.91837,19.67028932
310.18768,19.36997956
311.00961,19.0696698
310.01965,18.76936004
307.24411,18.46905027
305.67517,18.16874051
305.15012,17.86843075
304.40833,17.56812099
301.69806,17.26781123
301.69806,16.96750147
301.19189,16.66719171
297.47464,16.36688195
296.60605,16.06657219
296.26346,15.76626243
294.98401,15.46595267
293.82599,15.16564291
291.77521,14.86533315
292.1376,14.56502339
289.09686,14.26471363
287.26633,13.96440387
285.77011,13.66409411
284.2995,13.36378434
282.84534,13.06347458
281.78452,12.76316482
279.92606,12.46285506
278.11618,12.1625453
276.66666,11.86223554
274.95401,11.56192578
272.20273,11.26161602
270.29572,10.96130626
268.00403,10.6609965
267.54617,10.36068674
265.97552,10.06037698
263.37134,9.760067218
260.25742,9.459757458
256.97476,9.159447697
255.38152,8.859137937
252.60599,8.558828176
250.69894,8.258518415
248.50444,7.958208655
245.17216,7.657898894
242.32578,7.357589134
239.04413,7.057279373
236.17142,6.756969613
232.7683,6.456659852
229.05139,6.156350091
226.18349,5.856040331
222.65613,5.55573057
218.99127,5.25542081
215.94707,4.955111049
213.02779,4.654801289
207.81482,4.354491528
204.04932,4.054181768
199.72993,3.753872007
194.9265,3.453562246
190.53423,3.153252486
187.22787,2.852942725
182.03918,2.552632965
176.17494,2.252323204
170.67245,1.952013444
165.33902,1.651703683
158.99193,1.351393923
152.16202,1.051084162
144.64278,0.750774401
138.50259,0.450464641
130.30894,0.15015488
124.40871,-0.15015488
116.51695,-0.450464641
112.55914,-0.750774401
107.37389,-1.051084162
103.08903,-1.351393923
109.54249,-1.651703683
115.5276,-1.952013444
122.16418,-2.252323204
129.13811,-2.552632965
135.34099,-2.852942725
142.38812,-3.153252486
150.03836,-3.453562246
157.59203,-3.753872007
164.97685,-4.054181768
169.94852,-4.354491528
174.5414,-4.654801289
180.78442,-4.955111049
186.06949,-5.25542081
191.06525,-5.55573057
195.84358,-5.856040331
200.72427,-6.156350091
204.92261,-6.456659852
208.32092,-6.756969613
213.19583,-7.057279373
216.67181,-7.357589134
221.71477,-7.657898894
224.51457,-7.958208655
228.90765,-8.258518415
231.9727,-8.558828176
234.96484,-8.859137937
238.4631,-9.159447697
242.08487,-9.459757458
244.61746,-9.760067218
247.49017,-10.06037698
250.33858,-10.36068674
252.67886,-10.6609965
254.82681,-10.96130626
257.19138,-11.26161602
261.22208,-11.56192578
263.15341,-11.86223554
264.64951,-12.1625453
266.84399,-12.46285506
270.34628,-12.76316482
271.84036,-13.06347458
271.86465,-13.36378434
274.54303,-13.66409411
276.28204,-13.96440387
278.11893,-14.26471363
280.52933,-14.56502339
281.44644,-14.86533315
282.43439,-15.16564291
284.72809,-15.46595267
285.86526,-15.76626243
287.14487,-16.06657219
288.20206,-16.36688195
290.20627,-16.66719171
291.48572,-16.96750147
293.72882,-17.26781123
295.35077,-17.56812099
297.10764,-17.86843075
298.19946,-18.16874051
300.4671,-18.46905027
300.55933,-18.76936004
301.62219,-19.0696698
302.54437,-19.36997956
303.46155,-19.67028932
304.03537,-19.97059908
306.71371,-20.27090884
308.6973,-20.5712186
309.34348,-20.87152836
309.5679,-21.17183812
311.06415,-21.47214788
310.76871,-21.77245764
311.75665,-22.0727674
311.9024,-22.37307716
313.33176,-22.67338692
312.94705,-22.97369668
313.98993,-23.27400644
315.28757,-23.5743162
315.90878,-23.87462596
316.92102,-24.17493573
317.46002,-24.47524549
318.08105,-24.77555525
318.85907,-25.07586501
319.50424,-25.37617477
323.12399,-25.67648453
323.99246,-25.97679429
324.21112,-26.27710405
322.86584,-26.57741381
323.88022,-26.87772357
325.3934,-27.17803333
325.77805,-27.47834309
325.12616,-27.77865285
324.82169,-28.07896261
327.0239,-28.37927237
327.58792,-28.67958213
326.67084,-28.97989189
326.86517,-29.28020165
327.56564,-29.58051142
328.09604,-29.88082118
328.73129,-30.18113094
328.62646,-30.4814407
329.84079,-30.78175046
330.9989,-31.08206022
330.38773,-31.38236998
330.27612,-31.68267974
333.21994,-31.9829895
332.42426,-32.28329926
332.15903,-32.58360902
333.28473,-32.88391878
334.03992,-33.18422854
334.14529,-33.4845383
334.74048,-33.78484806
334.78906,-34.08515782
335.45697,-34.38546758
336.15543,-34.68577734
336.24506,-34.98608711
336.11722,-35.28639687
337.73291,-35.58670663
336.8559,-35.88701639
338.5929,-36.18732615
339.81021,-36.48763591
339.32632,-36.78794567
339.59152,-37.08825543
341.51416,-37.38856519
341.36841,-37.68887495
342.50412,-37.98918471
342.00494,-38.28949447
341.09662,-38.58980423
339.92966,-38.89011399
340.84683,-39.19042375
340.84683,-39.49073351
341.08777,-39.79104327
340.944,-40.09135303
340.98376,-40.3916628
341.70001,-40.69197256
343.7684,-40.99228232
344.39404,-41.29259208
344.05792,-41.59290184
343.71069,-41.8932116
343.23593,-42.19352136
344.05792,-42.49383112
343.65604,-42.79414088
343.93643,-43.09445064
343.88788,-43.3947604
344.49121,-43.69507016
344.37177,-43.99537992
344.36057,-44.29568968
343.78159,-44.59599944
345.24036,-44.8963092
345.43268,-45.19661896
344.32315,-45.49692872
345.26462,-45.79723849
346.36478,-46.09754825
347.35474,-46.39785801
348.19894,-46.69816777
347.69281,-46.99847753
348.83612,-47.29878729
348.8847,-47.59909705
347.55655,-47.89940681
348.01614,-48.19971657
348.30566,-48.50002633
347.43707,-48.80033609
347.58084,-49.10064585
348.49802,-49.40095561
349.54633,-49.70126537
349.27142,-50.00157513
348.28137,-50.30188489
348.8508,-50.60219465
348.45898,-50.90250442
348.73895,-51.20281418
348.40085,-51.50312394
349.05276,-51.8034337
349.31799,-52.10374346
347.71182,-52.40405322
348.40085,-52.70436298
348.64377,-53.00467274
349.68042,-53.3049825
350.24973,-53.60529226
350.14001,-53.90560202
349.16461,-54.20591178
349.22284,-54.50622154
