Rxx(Ohm),B(mT)
338.80447,103.7570223
337.93582,103.4567125
337.50049,103.1564028
337.15387,102.856093
337.63776,102.5557832
337.45187,102.2554735
337.30814,101.9551637
339.987,101.6548539
337.74146,101.3545442
337.96011,101.0542344
338.07959,100.7539247
338.65872,100.4536149
339.59152,100.1533051
339.35931,99.85299539
337.96011,99.55268563
338.39346,99.25237587
340.31638,98.9520661
340.31638,98.65175634
339.43219,98.35144658
338.29828,98.05113682
338.51495,97.75082706
338.2168,97.4505173
338.1925,97.15020754
338.07959,96.84989778
337.96011,96.54958802
337.81433,96.24927826
338.43344,95.9489685
338.99686,95.64865874
340.20367,95.34834898
340.10849,95.04803922
340.29208,94.74772946
337.38101,94.4474197
338.1282,94.14710994
338.03101,93.84680018
337.62198,93.54649041
337.42761,93.24618065
337.42761,92.94587089
338.03101,92.64556113
337.79004,92.34525137
339.33499,92.04494161
340.13278,91.74463185
340.59039,91.44432209
340.15506,91.14401233
338.10388,90.84370257
337.88724,90.54339281
337.08096,90.24308305
337.25952,89.94277329
338.20108,89.64246353
340.41357,89.34215377
339.20483,89.04184401
337.98444,88.74153425
337.74146,88.44122449
340.10849,88.14091472
339.16693,87.84060496
338.09534,87.5402952
338.61212,87.23998544
337.71713,86.93967568
338.02243,86.63936592
337.5491,86.33905616
336.47763,86.0387464
336.77762,85.73843664
337.16235,85.43812688
337.38101,85.13781712
337.18665,84.83750736
337.20245,84.5371976
337.35672,84.23688784
337.11374,83.93657808
336.92139,83.63626832
337.37051,83.33595856
338.6015,83.03564879
337.09146,82.73533903
337.52478,82.43502927
336.92139,82.13471951
336.99426,81.83440975
337.5491,81.53409999
337.33243,81.23379023
336.99426,80.93348047
337.38101,80.63317071
337.68433,80.33286095
338.39346,80.03255119
338.53922,79.73224143
336.70474,79.43193167
336.62338,79.13162191
338.02243,78.83131215
335.85001,78.53100239
335.69028,78.23069263
336.7999,77.93038287
338.34485,77.6300731
336.69629,77.32976334
336.94568,77.02945358
336.02841,76.72914382
337.71713,76.42883406
336.48605,76.1285243
335.95554,75.82821454
336.21237,75.52790478
335.42502,75.22759502
335.64166,74.92728526
336.55893,74.6269755
336.87277,74.32666574
337.40329,74.02635598
337.4762,73.72604622
337.01859,73.42573646
338.49063,73.1254267
339.11835,72.82511694
337.16235,72.52480718
336.92139,72.22449741
336.43945,71.92418765
336.96152,71.62387789
335.71457,71.32356813
336.46378,71.02325837
336.07703,70.72294861
336.07703,70.42263885
334.69186,70.12232909
334.76474,69.82201933
335.23267,69.52170957
335.86035,69.22139981
335.78745,68.92109005
335.06256,68.62078029
335.86035,68.32047053
335.77081,68.02016077
335.4007,67.71985101
335.15976,67.41954125
335.48959,67.11923149
335.56046,66.81892172
335.12717,66.51861196
337.25952,66.2183022
335.52219,65.91799244
336.65613,65.61768268
337.45187,65.31737292
337.22675,65.01706316
336.1499,64.7167534
336.46378,64.41644364
336.12561,64.11613388
336.35815,63.81582412
334.95712,63.51551436
335.3681,63.2152046
334.67581,62.91489484
334.96536,62.61458508
334.69186,62.31427532
334.13712,62.01396556
334.71619,61.7136558
334.8945,61.41334603
334.21002,61.11303627
334.03992,60.81272651
334.43484,60.51241675
334.36197,60.21210699
334.55634,59.91179723
336.43106,59.61148747
336.35815,59.31117771
335.76315,59.01086795
334.60495,58.71055819
334.45914,58.41024843
333.79898,58.10993867
333.88004,57.80962891
334.14529,57.50931915
334.09671,57.20900939
332.3028,56.90869963
333.12277,56.60838987
333.20377,56.30808011
333.83145,56.00777034
334.30719,55.70746058
333.75043,55.40715082
333.12277,55.10684106
333.01138,54.8065313
333.6391,54.50622154
334.09671,54.20591178
333.70383,53.90560202
333.65527,53.60529226
333.5419,53.3049825
334.08853,53.00467274
333.79898,52.70436298
332.91418,52.40405322
