Rxx(Ohm),B(mT)
384.02765,150.0047254
383.9668,149.7044156
382.63852,149.4041059
382.71143,149.1037961
382.84503,148.8034864
383.97903,148.5031766
383.55579,148.2028668
382.72351,147.9025571
382.31244,147.6022473
381.66241,147.3019376
383.086,147.0016278
381.70895,146.701318
382.1329,146.4010083
382.50684,146.1006985
381.89133,145.8003888
382.49475,145.500079
382.36105,145.1997692
381.44366,144.8994595
380.88882,144.5991497
380.75775,144.2988399
383.3877,143.9985302
382.60403,143.6982204
379.83817,143.3979107
380.34637,143.0976009
381.49228,142.7972911
383.2298,142.4969814
381.83047,142.1966716
380.12973,141.8963619
379.77908,141.5960521
380.16589,141.2957423
380.74506,140.9954326
380.40686,140.6951228
380.53876,140.3948131
380.43118,140.0945033
380.50204,139.7941935
379.3923,139.4938838
378.76456,139.193574
380.91312,138.8932643
381.3728,138.5929545
381.3728,138.2926447
382.09576,137.992335
381.4194,137.6920252
381.4342,137.3917155
381.54089,137.0914057
381.33652,136.7910959
382.65063,136.4907862
381.29993,136.1904764
380.39523,135.8901667
380.11728,135.5898569
380.05682,135.2895471
381.4317,134.9892374
381.78189,134.6889276
383.25409,134.3886179
383.96777,134.0883081
382.51974,133.7879983
383.05032,133.4876886
381.58948,133.1873788
381.54089,132.887069
382.66281,132.5867593
383.83527,132.2864495
383.91916,131.9861398
384.23206,131.68583
383.99112,131.3855202
384.30496,131.0852105
383.85754,130.7849007
381.49228,130.484591
382.38535,130.1842812
383.14676,129.8839714
382.86932,129.5836617
386.16379,129.2833519
383.58005,128.9830422
383.3634,128.6827324
381.69952,128.3824226
381.4194,128.0821129
381.98651,127.7818031
382.83292,127.4814934
382.77209,127.1811836
384.17142,126.8808738
385.10074,126.5805641
383.77444,126.2802543
384.10052,125.9799446
384.7869,125.6796348
384.31723,125.379325
385.10074,125.0790153
384.26862,124.7787055
384.67972,124.4783958
383.97903,124.178086
381.66241,123.8777762
380.52634,123.5774665
381.72125,123.2771567
381.4194,122.9768469
380.41928,122.6765372
379.45343,122.3762274
379.23471,122.0759177
382.69922,121.7756079
381.65091,121.4752981
381.85477,121.1749884
382.73642,120.8746786
381.09354,120.5743689
382.19296,120.2740591
382.80859,119.9737493
383.33911,119.6734396
381.89133,119.3731298
381.55368,119.0728201
381.33652,118.7725103
381.45599,118.4722005
381.77039,118.1718908
381.58948,117.871581
382.96451,117.5712713
383.67728,117.2709615
383.41202,116.9706517
382.55542,116.670342
381.32419,116.3700322
381.3728,116.0697225
381.96481,115.7694127
381.91562,115.4691029
381.68668,115.1687932
381.96423,114.8684834
382.60403,114.5681737
382.33673,114.2678639
382.83292,113.9675541
381.33652,113.6672444
381.75757,113.3669346
382.85794,113.0666249
382.25443,112.7663151
382.24158,112.4660053
380.58734,112.1656956
380.77969,111.8653858
380.66025,111.565076
381.87909,111.2647663
380.87726,110.9644565
