Vt (V),Vb (V)
-2.536340852,
-2.556390977,
-2.576441103,
-2.596491228,
-2.616541353,
-2.636591479,
-2.656641604,
-2.676691729,
-2.696741855,
-2.71679198,
-2.736842105,
-2.756892231,
-2.776942356,
-2.796992481,
-2.817042607,
-2.837092732,
-2.857142857,
-2.877192982,
-2.897243108,
-2.917293233,
-2.937343358,
-2.957393484,
-2.977443609,
-2.997493734,
-3.01754386,
-3.037593985,
-3.05764411,
-3.077694236,
-3.097744361,
-3.117794486,
-3.137844612,
-3.157894737,
-3.177944862,
-3.197994987,
-3.218045113,
-3.238095238,
-3.258145363,
-3.278195489,
-3.298245614,
-3.318295739,
-3.338345865,
-3.35839599,
-3.378446115,
-3.398496241,
-3.418546366,
-3.438596491,
-3.458646617,
-3.478696742,
-3.498746867,
-3.518796992,
-3.538847118,
-3.558897243,
-3.578947368,
-3.598997494,
-3.619047619,
-3.639097744,
-3.65914787,
-3.679197995,
-3.69924812,
-3.719298246,
-3.739348371,
-3.759398496,
-3.779448622,
-3.799498747,
-3.819548872,
-3.839598997,
-3.859649123,
-3.879699248,
-3.899749373,
-3.919799499,
-3.939849624,
-3.959899749,
-3.979949875,
-4,
