Rxx(Ohm),T(mK)
,4
,12
388.1571,20
367.9751,28
387.63583,36
423.03592,44
444.30753,52
452.33224,60
495.2049,68
511.8212,76
534.29016,84
560.09363,92
593.50073,100
632.74054,108
678.06848,116
724.33179,124
756.26593,132
763.06396,140
799.28754,148
846.65479,156
882.85742,164
928.90887,172
968.29108,180
1030.8661,188
1073.6157,196
1119.8516,204
1156.4153,212
1187.9923,220
1199.2736,228
1220.3358,236
1275.3246,244
1292.2107,252
1340.9934,260
1366.5504,268
1400.8135,276
1456.5039,284
1485.988,292
1524.3292,300
1512.7218,308
1528.486,316
1544.184,324
1580.1122,332
1608.146,340
1616.382,348
1627.2981,356
1626.2688,364
1640.0399,372
1643.7253,380
1661.2679,388
1681.5157,396
1688.8516,404
1699.5302,412
1712.0393,420
1717.1843,428
1730.1755,436
1749.5676,444
1767.4242,452
1743.8788,460
1752.4366,468
1765.1633,476
1788.0237,484
1806.6746,492
1820.276,500
1819.6576,508
1831.97,516
1841.4446,524
1841.7823,532
1842.7069,540
1849.5302,548
1845.524,556
1828.244,564
1829.8528,572
1834.5752,580
1833.2145,588
1822.0042,596
1827.1929,604
1808.6787,612
1816.8243,620
1813.6002,628
1822.3958,636
1824.0469,644
1837.7277,652
1839.4462,660
1835.942,668
1824.5784,676
1828.7975,684
1825.7108,692
1837.4562,700
1833.927,708
1810.8771,716
1816.965,724
1808.5549,732
1807.0791,740
1809.3845,748
1800.4045,756
1799.0006,764
1810.2081,772
1812.5464,780
1792.0752,788
1801.8704,796
1811.0255,804
1803.6533,812
1806.0294,820
1824.3982,828
1822.0549,836
1824.3588,844
1817.9974,852
1827.6033,860
1834.0419,868
1829.7795,876
1812.4524,884
1812.4979,892
1797.2078,900
1791.8007,908
1783.4481,916
1782.8579,924
1780.1316,932
1765.3942,940
1768.3623,948
1764.9282,956
1774.6586,964
1777.2684,972
1778.2578,980
,988
,996
