Rxx(Ohm),ne(cm-2)
42558.258,-1.50067E+13
46908.668,-1.49855E+13
49152.746,-1.49643E+13
51304.793,-1.49431E+13
53170.105,-1.49219E+13
52359.844,-1.49007E+13
40325.246,-1.48795E+13
40365.277,-1.48583E+13
48893.641,-1.48371E+13
51271.094,-1.48159E+13
52803.34,-1.47947E+13
55116.609,-1.47735E+13
57871.367,-1.47523E+13
62497.602,-1.47311E+13
58083.129,-1.47099E+13
56208.539,-1.46887E+13
49100.473,-1.46675E+13
36712.531,-1.46463E+13
43973.617,-1.46251E+13
50177.473,-1.46039E+13
48967.586,-1.45827E+13
52912.332,-1.45615E+13
45710.746,-1.45403E+13
43207.801,-1.45191E+13
46809.855,-1.44979E+13
57985.188,-1.44767E+13
54906.891,-1.44555E+13
56778.617,-1.44343E+13
55333.012,-1.44131E+13
55849.754,-1.4392E+13
64869.84,-1.43708E+13
65802.781,-1.43496E+13
69571.016,-1.43284E+13
66203.242,-1.43072E+13
61610.523,-1.4286E+13
61064.328,-1.42648E+13
64318.336,-1.42436E+13
54489.68,-1.42224E+13
52032.16,-1.42012E+13
54598.941,-1.418E+13
48148.531,-1.41588E+13
57728.625,-1.41376E+13
53910.977,-1.41164E+13
53566.953,-1.40952E+13
49533.293,-1.4074E+13
65018.008,-1.40528E+13
72274.688,-1.40316E+13
63105.867,-1.40104E+13
52518.367,-1.39892E+13
61907.203,-1.3968E+13
64447.082,-1.39468E+13
60631.844,-1.39256E+13
85668.969,-1.39044E+13
62068.992,-1.38832E+13
75095.523,-1.3862E+13
103781.84,-1.38408E+13
96075.984,-1.38196E+13
91023.641,-1.37984E+13
91178.508,-1.37772E+13
85654.398,-1.3756E+13
78247.945,-1.37348E+13
90472.055,-1.37136E+13
72165.016,-1.36924E+13
66915.242,-1.36712E+13
78844.688,-1.365E+13
98388.836,-1.36288E+13
80264.688,-1.36076E+13
78037.508,-1.35864E+13
76386.117,-1.35652E+13
87316.141,-1.3544E+13
82028.18,-1.35228E+13
98805.016,-1.35016E+13
89765.523,-1.34805E+13
105001.88,-1.34593E+13
86747.531,-1.34381E+13
115067.08,-1.34169E+13
101945.5,-1.33957E+13
66277.117,-1.33745E+13
77852.945,-1.33533E+13
86288.797,-1.33321E+13
106050.21,-1.33109E+13
113867.02,-1.32897E+13
99289.367,-1.32685E+13
97775.016,-1.32473E+13
101643.33,-1.32261E+13
100501.11,-1.32049E+13
93688.961,-1.31837E+13
123586.47,-1.31625E+13
118173.27,-1.31413E+13
146337.73,-1.31201E+13
150859.56,-1.30989E+13
197314.25,-1.30777E+13
143902.42,-1.30565E+13
105186.95,-1.30353E+13
131073.39,-1.30141E+13
143198.47,-1.29929E+13
66454.984,-1.29717E+13
124191.6,-1.29505E+13
122381.8,-1.29293E+13
101640.53,-1.29081E+13
87865.734,-1.28869E+13
181401.36,-1.28657E+13
177516.08,-1.28445E+13
144149.61,-1.28233E+13
103163.66,-1.28021E+13
180045.5,-1.27809E+13
134693.11,-1.27597E+13
148690.19,-1.27385E+13
124374.39,-1.27173E+13
120592.07,-1.26961E+13
136144.86,-1.26749E+13
255916.81,-1.26537E+13
326718.12,-1.26325E+13
302953.69,-1.26113E+13
271502.91,-1.25901E+13
287084.06,-1.2569E+13
264817.09,-1.25478E+13
235764.53,-1.25266E+13
299396.59,-1.25054E+13
251339.53,-1.24842E+13
175829.38,-1.2463E+13
245959.03,-1.24418E+13
235099.53,-1.24206E+13
334993.41,-1.23994E+13
319701.59,-1.23782E+13
259731.94,-1.2357E+13
301246.72,-1.23358E+13
399378.28,-1.23146E+13
408574.69,-1.22934E+13
362920.78,-1.22722E+13
420453.34,-1.2251E+13
370521.56,-1.22298E+13
458236.84,-1.22086E+13
494553.66,-1.21874E+13
480850.03,-1.21662E+13
468219.28,-1.2145E+13
452001.62,-1.21238E+13
552840.25,-1.21026E+13
633189.56,-1.20814E+13
510303.44,-1.20602E+13
396929.5,-1.2039E+13
378572.75,-1.20178E+13
442899.09,-1.19966E+13
