Rxx(Ohm),ne(cm-2)
12303.028,-1.98E+13
13253.94,-1.98E+13
12660.4,-1.98E+13
13509.064,-1.98E+13
13476.597,-1.97E+13
12295.446,-1.97E+13
12486.94,-1.97E+13
13379.116,-1.97E+13
14192.153,-1.97E+13
13591.761,-1.96E+13
12327.929,-1.96E+13
12242.911,-1.96E+13
15223.829,-1.96E+13
14907.427,-1.95E+13
13772.43,-1.95E+13
13638.711,-1.95E+13
14726.546,-1.95E+13
16919.957,-1.95E+13
15097.627,-1.94E+13
15424.814,-1.94E+13
15222.676,-1.94E+13
14491.565,-1.94E+13
13713.7,-1.94E+13
13826.157,-1.93E+13
14314.722,-1.93E+13
13960.507,-1.93E+13
12679.399,-1.93E+13
13400.36,-1.92E+13
14360.595,-1.92E+13
15481.602,-1.92E+13
14314.032,-1.92E+13
14686.429,-1.92E+13
15191.346,-1.91E+13
14801.584,-1.91E+13
15090.374,-1.91E+13
14552.407,-1.91E+13
13493.966,-1.91E+13
12690.773,-1.90E+13
11923.172,-1.90E+13
13024.042,-1.90E+13
13836.146,-1.90E+13
14112.007,-1.90E+13
14688.17,-1.89E+13
14004.039,-1.89E+13
12404.882,-1.89E+13
11857.049,-1.89E+13
14511.627,-1.88E+13
15662.763,-1.88E+13
14408.262,-1.88E+13
13666.006,-1.88E+13
12990.023,-1.88E+13
14078.802,-1.87E+13
12478.65,-1.87E+13
13376.472,-1.87E+13
12889.117,-1.87E+13
14844.629,-1.87E+13
13485.426,-1.86E+13
13095.422,-1.86E+13
12833.629,-1.86E+13
14291.774,-1.86E+13
13113.643,-1.86E+13
14997.401,-1.85E+13
14706.528,-1.85E+13
15538.995,-1.85E+13
15419.517,-1.85E+13
13619.87,-1.84E+13
15144.621,-1.84E+13
16164.411,-1.84E+13
15529.009,-1.84E+13
16123.312,-1.84E+13
15079.66,-1.83E+13
11892.482,-1.83E+13
12640.626,-1.83E+13
14801.527,-1.83E+13
14328.446,-1.83E+13
15018.278,-1.82E+13
13761.278,-1.82E+13
13459.027,-1.82E+13
14883.469,-1.82E+13
16469.801,-1.82E+13
14176.167,-1.81E+13
14422.632,-1.81E+13
12937.499,-1.81E+13
14446.012,-1.81E+13
14190.123,-1.80E+13
13359.759,-1.80E+13
15378.514,-1.80E+13
15873.691,-1.80E+13
15472.546,-1.80E+13
16211.25,-1.79E+13
16303.997,-1.79E+13
15124.78,-1.79E+13
15899.093,-1.79E+13
13940.107,-1.79E+13
14860.886,-1.78E+13
16676.371,-1.78E+13
14359.089,-1.78E+13
15510.676,-1.78E+13
17246.627,-1.78E+13
18277.443,-1.77E+13
17854.193,-1.77E+13
16052.829,-1.77E+13
13720.625,-1.77E+13
14329.635,-1.76E+13
15001.721,-1.76E+13
18031.562,-1.76E+13
18823.291,-1.76E+13
17238.486,-1.76E+13
16109.791,-1.75E+13
15712.962,-1.75E+13
15247.259,-1.75E+13
15081.515,-1.75E+13
14793.526,-1.75E+13
16230.779,-1.74E+13
16092.494,-1.74E+13
16854.766,-1.74E+13
17780.178,-1.74E+13
16612.645,-1.74E+13
16756.572,-1.73E+13
15575.727,-1.73E+13
16544.326,-1.73E+13
15312.222,-1.73E+13
15494.943,-1.72E+13
18518.498,-1.72E+13
18175.238,-1.72E+13
17033.787,-1.72E+13
16955.85,-1.72E+13
16379.91,-1.71E+13
16199.78,-1.71E+13
16431.531,-1.71E+13
17066.41,-1.71E+13
17877.744,-1.71E+13
17992.184,-1.70E+13
18827.139,-1.70E+13
17058.291,-1.70E+13
19794.611,-1.70E+13
20444.068,-1.70E+13
17345.266,-1.69E+13
16049.488,-1.69E+13
16365.734,-1.69E+13
18009.477,-1.69E+13
21045.428,-1.68E+13
20212.516,-1.68E+13
18514.307,-1.68E+13
14929.995,-1.68E+13
16043.264,-1.68E+13
18620.508,-1.67E+13
17005.92,-1.67E+13
17922.799,-1.67E+13
15163.27,-1.67E+13
15042.544,-1.67E+13
17910.814,-1.66E+13
19372.787,-1.66E+13
18265.113,-1.66E+13
17752.76,-1.66E+13
16403.27,-1.66E+13
15673.2,-1.65E+13
18910.096,-1.65E+13
17033.777,-1.65E+13
15954.583,-1.65E+13
15919.633,-1.64E+13
18008.186,-1.64E+13
17185.502,-1.64E+13
17975.01,-1.64E+13
16851.057,-1.64E+13
