Rxx(Ohm),B(mT)
181.87823,3298.359672
180.95454,3296.959392
179.30145,3295.559112
179.49002,3294.158832
179.44318,3292.758552
179.13309,3291.358272
179.42146,3289.957992
178.99228,3288.557712
175.23427,3287.157431
174.79248,3285.757151
174.6033,3284.356871
174.09189,3282.956591
173.67125,3281.556311
172.6489,3280.156031
174.48276,3278.755751
173.67125,3277.355471
172.77832,3275.955191
171.92767,3274.554911
173.16032,3273.154631
172.37857,3271.754351
171.53679,3270.354071
171.8974,3268.953791
169.55263,3267.553511
168.84073,3266.153231
168.56053,3264.752951
167.74902,3263.352671
166.30603,3261.95239
167.5482,3260.55211
167.83931,3259.15183
167.35814,3257.75155
165.94542,3256.35127
165.59453,3254.95099
164.89281,3253.55071
163.31004,3252.15043
164.62248,3250.75015
163.44983,3249.34987
164.32187,3247.94959
160.63472,3246.54931
158.18933,3245.14903
158.21909,3243.74875
158.38049,3242.34847
157.46759,3240.94819
156.036,3239.54791
155.76518,3238.14763
154.91249,3236.747349
154.68295,3235.347069
153.2704,3233.946789
152.94608,3232.546509
153.27646,3231.146229
151.51511,3229.745949
149.92181,3228.345669
152.11629,3226.945389
153.10838,3225.545109
152.2666,3224.144829
149.80179,3222.744549
149.69339,3221.344269
149.47092,3219.943989
148.0403,3218.543709
146.28436,3217.143429
148.16032,3215.743149
144.55356,3214.342869
143.83189,3212.942589
141.38448,3211.542308
141.56453,3210.142028
142.20854,3208.741748
141.69769,3207.341468
140.21184,3205.941188
139.64038,3204.540908
140.0918,3203.140628
135.89619,3201.740348
136.66466,3200.340068
136.96524,3198.939788
135.86838,3197.539508
134.81447,3196.139228
135.46175,3194.738948
134.19931,3193.338668
132.83055,3191.938388
131.98988,3190.538108
128.42738,3189.137828
130.291,3187.737548
129.073,3186.337267
126.81856,3184.936987
125.96207,3183.536707
125.81178,3182.136427
123.70757,3180.736147
123.60233,3179.335867
123.6773,3177.935587
122.36855,3176.535307
121.07679,3175.135027
118.28145,3173.734747
118.82256,3172.334467
116.98892,3170.934187
117.00307,3169.533907
115.4698,3168.133627
116.29752,3166.733347
115.36607,3165.333067
114.23766,3163.932787
113.15529,3162.532507
113.60619,3161.132226
112.64437,3159.731946
110.2093,3158.331666
111.35168,3156.931386
109.51782,3155.531106
109.21722,3154.130826
108.07484,3152.730546
107.74398,3151.330266
106.87194,3149.929986
105.52396,3148.529706
105.68701,3147.129426
104.13628,3145.729146
102.42295,3144.328866
101.56889,3142.928586
102.09209,3141.528306
100.01816,3140.128026
100.02976,3138.727746
98.063751,3137.327465
97.583092,3135.927185
97.672867,3134.526905
96.57933,3133.126625
95.286804,3131.726345
93.76506,3130.326065
94.324593,3128.925785
94.354851,3127.525505
92.490952,3126.125225
91.6306,3124.724945
90.097336,3123.324665
91.078407,3121.924385
89.856758,3120.524105
89.2258,3119.123825
88.2528,3117.723545
88.353752,3116.323265
86.249557,3114.922985
86.129013,3113.522705
85.107178,3112.122424
85.257469,3110.722144
84.806572,3109.321864
84.024811,3107.921584
83.062996,3106.521304
81.920609,3105.121024
81.449997,3103.720744
79.635849,3102.320464
78.333687,3100.920184
77.771721,3099.519904
77.681442,3098.119624
78.403191,3096.719344
79.094666,3095.319064
78.643768,3093.918784
77.389816,3092.518504
76.539055,3091.118224
76.298981,3089.717944
75.25843,3088.317664
73.382759,3086.917383
74.155548,3085.517103
73.902252,3084.116823
73.593079,3082.716543
71.398598,3081.316263
