Rxx(Ohm),ne(cm-2)
1754.0999,3.08E+09
1666.3782,3.12E+09
1637.1466,3.16E+09
1588.2576,3.20E+09
1600.2344,3.25E+09
1595.9673,3.29E+09
1588.1467,3.33E+09
1588.8081,3.38E+09
1561.0748,3.42E+09
1582.7533,3.46E+09
1572.9863,3.50E+09
1541.912,3.55E+09
1545.2286,3.59E+09
1540.8005,3.63E+09
1560.0664,3.67E+09
1565.1389,3.72E+09
1534.687,3.76E+09
1501.9341,3.80E+09
1475.1046,3.85E+09
1477.5292,3.89E+09
1496.2563,3.93E+09
1509.8958,3.97E+09
1503.3926,4.02E+09
1480.7657,4.06E+09
1479.0392,4.10E+09
1476.7703,4.14E+09
1468.4651,4.19E+09
1493.0217,4.23E+09
1485.0656,4.27E+09
1438.3596,4.31E+09
1446.5947,4.36E+09
1457.4702,4.40E+09
1423.5781,4.44E+09
1398.0275,4.49E+09
1399.6423,4.53E+09
1420.0657,4.57E+09
1439.1863,4.61E+09
1408.6776,4.66E+09
1430.8649,4.70E+09
1419.4645,4.74E+09
1427.017,4.78E+09
1416.2571,4.83E+09
1404.0133,4.87E+09
1439.3479,4.91E+09
1436.3801,4.96E+09
1440.0719,5.00E+09
1432.6646,5.04E+09
1408.8187,5.08E+09
1370.588,5.13E+09
1327.5177,5.17E+09
1344.895,5.21E+09
1351.7841,5.25E+09
1382.149,5.30E+09
1389.7985,5.34E+09
1387.068,5.38E+09
1355.4757,5.43E+09
1326.7026,5.47E+09
1282.1515,5.51E+09
1289.3918,5.55E+09
1296.4451,5.60E+09
1306.2638,5.64E+09
1292.8843,5.68E+09
1292.9099,5.72E+09
1281.276,5.77E+09
1274.9164,5.81E+09
1265.2986,5.85E+09
1271.3625,5.90E+09
1239.4233,5.94E+09
1212.282,5.98E+09
1192.9471,6.02E+09
1153.6289,6.07E+09
1174.3795,6.11E+09
1179.7286,6.15E+09
1190.8663,6.19E+09
1200.0538,6.24E+09
1186.4062,6.28E+09
1167.6118,6.32E+09
1159.533,6.36E+09
1153.2032,6.41E+09
1163.1226,6.45E+09
1165.2446,6.49E+09
1166.9718,6.54E+09
1159.2502,6.58E+09
1164.5216,6.62E+09
1189.4355,6.66E+09
1219.7833,6.71E+09
1211.3185,6.75E+09
1177.7694,6.79E+09
1154.5126,6.83E+09
1135.5114,6.88E+09
1130.8818,6.92E+09
1137.9493,6.96E+09
1143.1899,7.01E+09
1137.5663,7.05E+09
1151.8667,7.09E+09
1132.1311,7.13E+09
1098.4821,7.18E+09
1088.7465,7.22E+09
1075.9778,7.26E+09
1035.726,7.30E+09
1047.3547,7.35E+09
1065.6732,7.39E+09
1044.4451,7.43E+09
1036.7842,7.48E+09
1033.771,7.52E+09
1039.6677,7.56E+09
1036.0333,7.60E+09
1023.1111,7.65E+09
981.87604,7.69E+09
952.23016,7.73E+09
954.35248,7.77E+09
967.88446,7.82E+09
968.93054,7.86E+09
981.58612,7.90E+09
992.66064,7.94E+09
1000.6718,7.99E+09
984.47662,8.03E+09
949.62665,8.07E+09
955.42914,8.12E+09
953.72455,8.16E+09
966.63464,8.20E+09
969.8493,8.24E+09
975.92639,8.29E+09
983.52454,8.33E+09
964.25586,8.37E+09
954.61377,8.41E+09
940.09906,8.46E+09
938.57166,8.50E+09
955.90271,8.54E+09
950.99036,8.59E+09
959.34625,8.63E+09
953.71167,8.67E+09
973.58173,8.71E+09
977.66553,8.76E+09
1009.0072,8.80E+09
1021.1735,8.84E+09
1015.876,8.88E+09
1019.7188,8.93E+09
1009.8462,8.97E+09
1007.1027,9.01E+09
988.78772,9.06E+09
996.24872,9.10E+09
982.31976,9.14E+09
972.05487,9.18E+09
1000.1853,9.23E+09
1013.0281,9.27E+09
1012.1836,9.31E+09
995.67889,9.35E+09
992.95166,9.40E+09
994.17761,9.44E+09
985.73138,9.48E+09
978.5473,9.53E+09
986.95319,9.57E+09
978.54364,9.61E+09
909.21857,9.65E+09
902.64667,9.70E+09
914.11163,9.74E+09
922.20605,9.78E+09
925.19647,9.82E+09
936.15283,9.87E+09
919.27917,9.91E+09
926.02673,9.95E+09
916.89575,9.99E+09
904.09387,1.00E+10
895.90918,1.01E+10
924.40833,1.01E+10
937.43933,1.02E+10
935.30353,1.02E+10
904.85425,1.03E+10
898.7616,1.03E+10
