Rxx(Ohm),ne(cm-2)
11396.151,1.80E+10
11691.214,1.79E+10
8924.8584,1.78E+10
8954.3076,1.77E+10
9481.5137,1.76E+10
9772.4248,1.75E+10
9333.5107,1.74E+10
7913.6626,1.73E+10
7147.4326,1.72E+10
7865.374,1.71E+10
7193.751,1.70E+10
7810.0645,1.69E+10
10655.838,1.68E+10
9334.9863,1.67E+10
8744.7334,1.66E+10
10033.08,1.65E+10
10985.124,1.63E+10
9632.0244,1.62E+10
9198.2402,1.61E+10
7649.1494,1.60E+10
6401.2124,1.59E+10
6569.0059,1.58E+10
7960.7373,1.57E+10
8657.5615,1.56E+10
8304.749,1.55E+10
7572.4141,1.54E+10
6728.4341,1.53E+10
7101.5718,1.52E+10
8711.8525,1.51E+10
8928.583,1.50E+10
9148.4854,1.49E+10
10403.177,1.48E+10
12789.855,1.47E+10
12115.648,1.46E+10
11230.569,1.45E+10
11364.01,1.44E+10
12817.5,1.43E+10
13502.415,1.42E+10
13135.039,1.41E+10
12206.611,1.40E+10
10256.67,1.39E+10
10879.259,1.38E+10
8239.7266,1.37E+10
6540.9766,1.36E+10
6027.7739,1.35E+10
6279.3872,1.34E+10
5567.6006,1.33E+10
5542.8379,1.32E+10
4993.0215,1.31E+10
5524.4834,1.30E+10
5743.29,1.29E+10
6288.605,1.27E+10
6356.1045,1.26E+10
6813.001,1.25E+10
6166.2959,1.24E+10
5789.1108,1.23E+10
6761.333,1.22E+10
5801.0796,1.21E+10
5869.5479,1.20E+10
6280.6904,1.19E+10
7325.5571,1.18E+10
6471.3486,1.17E+10
5806.1636,1.16E+10
5009.8999,1.15E+10
4738.127,1.14E+10
5011.7905,1.13E+10
5337.5747,1.12E+10
5067.1079,1.11E+10
5716.5835,1.10E+10
6575.8857,1.09E+10
5883.7109,1.08E+10
5934.9756,1.07E+10
6063.3389,1.06E+10
5917.7197,1.05E+10
5346.5767,1.04E+10
5795.9502,1.03E+10
5660.8325,1.02E+10
4814.4146,1.01E+10
4521.0308,9.97E+09
4376.6177,9.87E+09
4208.9492,9.77E+09
4333.0137,9.66E+09
4477.5952,9.56E+09
4111.2412,9.46E+09
4356.9282,9.36E+09
4519.5879,9.25E+09
4561.9492,9.15E+09
4166.6504,9.05E+09
4306.2051,8.94E+09
5026.4795,8.84E+09
5245.3535,8.74E+09
4380.3711,8.64E+09
4039.8799,8.53E+09
3708.2588,8.43E+09
3900.5408,8.33E+09
4468.5835,8.22E+09
5121.5547,8.12E+09
5183.1484,8.02E+09
5209.0557,7.92E+09
5461.3755,7.81E+09
4745.5977,7.71E+09
4843.748,7.61E+09
4911.252,7.50E+09
5387.3164,7.40E+09
5606.457,7.30E+09
5246.9688,7.20E+09
4875.9849,7.09E+09
4292.1602,6.99E+09
4064.2507,6.89E+09
4343.7588,6.78E+09
4204.3174,6.68E+09
4389.249,6.58E+09
4175.312,6.48E+09
3787.1162,6.37E+09
3750.7214,6.27E+09
3875.657,6.17E+09
3709.5254,6.06E+09
3258.5742,5.96E+09
3155.9412,5.86E+09
3371.8828,5.76E+09
3178.0203,5.65E+09
3401.1812,5.55E+09
3720.9304,5.45E+09
3597.0623,5.34E+09
3382.3667,5.24E+09
3390.5935,5.14E+09
3686.3516,5.04E+09
3816.9749,4.93E+09
3713.8354,4.83E+09
2938.9229,4.73E+09
2742.5718,4.62E+09
2753.4775,4.52E+09
2725.7114,4.42E+09
2977.8447,4.32E+09
2919.7512,4.21E+09
2562.0298,4.11E+09
2694.8174,4.01E+09
2753.2739,3.90E+09
2921.5996,3.80E+09
3075.2913,3.70E+09
3293.2422,3.60E+09
3331.9541,3.49E+09
3211.2859,3.39E+09
3005.7749,3.29E+09
2776.1265,3.18E+09
2571.8083,3.08E+09
2542.3696,2.98E+09
2512.2729,2.88E+09
2570.3083,2.77E+09
2584.6716,2.67E+09
2499.7354,2.57E+09
2375.0723,2.46E+09
2386.0505,2.36E+09
2691.6357,2.26E+09
3069.0483,2.16E+09
3180.2502,2.05E+09
2745.2512,1.95E+09
2697.5918,1.85E+09
2759.4963,1.74E+09
2575.7625,1.64E+09
2432.7668,1.54E+09
2270.7373,1.44E+09
2376.8306,1.33E+09
2264.5063,1.23E+09
2376.2668,1.13E+09
2238.4939,1.02E+09
2371.6245,9.22E+08
2374.376,8.19E+08
2315.8208,7.16E+08
2564.9009,6.14E+08
2683.3823,5.11E+08
2464.8037,4.08E+08
2294.7861,3.05E+08
2224.8794,2.02E+08
2279.0281,99268848
2218.1812,3579005.5
2151.3079,1.06E+08
2200.3281,2.09E+08
2058.5427,3.12E+08
1777.6079,4.15E+08
1607.178,5.18E+08
1729.4474,6.21E+08
2027.9373,7.24E+08
1923.6974,8.26E+08
2003.0013,9.29E+08
2015.6256,1.03E+09
1885.9771,1.13E+09
1792.6748,1.24E+09
1971.4662,1.34E+09
2056.1406,1.44E+09
2166.4751,1.55E+09
2046.2947,1.65E+09
1974.389,1.75E+09
1778.3065,1.85E+09
1685.1405,1.96E+09
1577.4525,2.06E+09
1591.6187,2.16E+09
1701.2496,2.27E+09
1655.3754,2.37E+09
1742.8264,2.47E+09
1660.662,2.57E+09
1775.5017,2.68E+09
1753.4053,2.78E+09
1729.4686,2.88E+09
1699.7281,2.99E+09
1785.7129,3.09E+09
1794.6223,3.19E+09
1754.856,3.29E+09
1609.2418,3.40E+09
1566.175,3.50E+09
1515.968,3.60E+09
1558.7889,3.71E+09
1461.5538,3.81E+09
1434.2424,3.91E+09
1386.6035,4.01E+09
1319.4076,4.12E+09
1283.5765,4.22E+09
1331.5802,4.32E+09
1304.066,4.43E+09
1303.381,4.53E+09
1307.3242,4.63E+09
1378.9897,4.73E+09
1373.92,4.84E+09
1337.2795,4.94E+09
1239.5408,5.04E+09
1264.3242,5.15E+09
1370.0397,5.25E+09
1417.554,5.35E+09
1284.8514,5.45E+09
1202.2969,5.56E+09
1205.3496,5.66E+09
1214.8862,5.76E+09
1188.7363,5.87E+09
1209.3518,5.97E+09
1214.4976,6.07E+09
1167.9517,6.17E+09
1155.6517,6.28E+09
1155.8032,6.38E+09
1133.7906,6.48E+09
1110.8159,6.59E+09
1059.5679,6.69E+09
1011.2485,6.79E+09
995.83124,6.89E+09
979.77777,7.00E+09
943.92151,7.10E+09
922.06256,7.20E+09
959.60107,7.31E+09
974.46887,7.41E+09
969.37604,7.51E+09
889.40808,7.61E+09
851.5083,7.72E+09
834.34821,7.82E+09
830.90533,7.92E+09
833.96399,8.03E+09
826.15039,8.13E+09
782.61853,8.23E+09
795.95966,8.33E+09
812.28198,8.44E+09
798.55969,8.54E+09
786.64441,8.64E+09
774.39575,8.75E+09
727.99866,8.85E+09
751.31152,8.95E+09
759.83887,9.05E+09
734.67981,9.16E+09
712.84991,9.26E+09
674.0022,9.36E+09
652.99609,9.47E+09
661.73645,9.57E+09
651.94019,9.67E+09
650.03821,9.77E+09
622.65283,9.88E+09
608.02051,9.98E+09
570.27429,1.01E+10
567.02136,1.02E+10
573.64197,1.03E+10
563.38184,1.04E+10
543.58051,1.05E+10
479.02414,1.06E+10
470.70892,1.07E+10
446.10529,1.08E+10
424.11572,1.09E+10
433.45233,1.10E+10
424.20215,1.11E+10
420.32825,1.12E+10
432.37759,1.13E+10
445.26212,1.14E+10
450.0127,1.15E+10
403.70129,1.16E+10
398.02658,1.17E+10
400.74597,1.18E+10
383.8432,1.19E+10
404.72144,1.20E+10
403.52084,1.21E+10
396.31799,1.22E+10
359.397,1.23E+10
363.73157,1.24E+10
