Rxx(Ohm),X_axis
9494.7559,1.3009899
8791.7656,1.2935542
7380.7241,1.2861185
7270.6396,1.2786827
8022.8818,1.271247
8419.7822,1.2638113
8088.4839,1.2563756
8036.2979,1.2489399
6951.1294,1.2415043
6600.8906,1.2340685
7257.938,1.2266328
7850.9233,1.2191972
8452.3105,1.2117614
8004.2993,1.2043257
8718.3701,1.19689
8547.9941,1.1894542
8345.6582,1.1820185
7649.2852,1.1745828
7653.7461,1.1671472
6669.5762,1.1597115
5751.4487,1.1522758
6259.4707,1.1448401
6714.02,1.1374043
7488.5059,1.1299686
7660.9727,1.122533
6908.2026,1.1150972
6487.2998,1.1076615
6476.5278,1.1002258
7531.2158,1.0927901
7447.7939,1.0853544
7073.6963,1.0779188
8245.0752,1.070483
8382.5977,1.0630473
9921.71,1.0556116
10533.09,1.0481758
9447.8037,1.0407401
9788.7891,1.0333045
10647.279,1.0258687
10739.495,1.018433
9788.7832,1.0109973
9210.6416,1.0035616
7782.2534,0.99612588
5596.4629,0.9886902
5069.9473,0.98125446
5331.4741,0.97381878
5057.833,0.9663831
4729.5264,0.95894742
4811.9673,0.95151168
4822.4932,0.944076
4872.3198,0.93664032
5213.2344,0.92920452
6330.9868,0.92176884
5566.7354,0.91433316
5963.6167,0.90689743
5195.5537,0.89946175
5421.1807,0.89202607
5083.084,0.88459027
5338.9517,0.87715459
6136.3784,0.86971891
6194.2993,0.86228317
6863.751,0.85484749
6766.9712,0.84741175
5823.5483,0.83997607
5451.0542,0.83254039
4865.0317,0.82510465
5109.4336,0.81766897
4896.9673,0.81023324
5194.8442,0.80279756
5593.0991,0.79536182
5452.7988,0.78792614
5282.3481,0.78049046
5512.4155,0.77305472
5218.7363,0.76561898
5027.1968,0.7581833
4612.1714,0.75074762
4460.0005,0.74331188
4157.3896,0.7358762
4211.0029,0.72844046
4305.3726,0.72100472
4516.9072,0.7135691
4174.8477,0.70613337
4084.1306,0.69869769
4204.0806,0.69126195
4317.4902,0.68382621
4578.626,0.67639053
4612.3716,0.66895485
4452.0811,0.66151911
