Rxx(Ohm),ne(cm-2)
5103.917,4.97E+09
4802.2285,4.94E+09
4804.3374,4.91E+09
5212.855,4.88E+09
4988.9448,4.85E+09
5068.9092,4.82E+09
5122.0771,4.80E+09
5067.8574,4.77E+09
5012.4897,4.74E+09
4978.2534,4.71E+09
4848.0952,4.68E+09
4894.4756,4.65E+09
4789.7598,4.63E+09
4814.2534,4.60E+09
4693.4189,4.57E+09
4743.6641,4.54E+09
4627.8032,4.51E+09
4501.4551,4.48E+09
4558.1489,4.45E+09
4567.5249,4.43E+09
4302.231,4.40E+09
4238.0981,4.37E+09
4435.5986,4.34E+09
4529.7705,4.31E+09
4652.7729,4.28E+09
4580.6489,4.26E+09
4577.7495,4.23E+09
4554.1104,4.20E+09
4602.7983,4.17E+09
4623.4961,4.14E+09
4823.3867,4.11E+09
4964.502,4.09E+09
4986.3184,4.06E+09
5347.4771,4.03E+09
5595.207,4.00E+09
5636.5098,3.97E+09
5541.9517,3.94E+09
5381.3569,3.92E+09
5077.4766,3.89E+09
4660.5859,3.86E+09
4381.2603,3.83E+09
4085.9976,3.80E+09
3860.291,3.77E+09
3790.3542,3.75E+09
3660.7478,3.72E+09
3601.3708,3.69E+09
3634.738,3.66E+09
3592.1616,3.63E+09
3498.9241,3.60E+09
3552.8706,3.57E+09
3488.6821,3.55E+09
3515.6321,3.52E+09
3477.783,3.49E+09
3465.8223,3.46E+09
3544.1106,3.43E+09
3592.5125,3.40E+09
3697.1472,3.38E+09
3717.4814,3.35E+09
3810.0381,3.32E+09
3866.4226,3.29E+09
3658.1443,3.26E+09
3562.2766,3.23E+09
3508.3687,3.21E+09
3520.4883,3.18E+09
3633.3159,3.15E+09
3611.499,3.12E+09
3672.5874,3.09E+09
3804.6602,3.06E+09
3672.0876,3.04E+09
3567.469,3.01E+09
3583.3948,2.98E+09
3507.9556,2.95E+09
3540.6094,2.92E+09
3498.8533,2.89E+09
3539.9753,2.87E+09
3410.0818,2.84E+09
3308.8926,2.81E+09
3233.0396,2.78E+09
3215.8601,2.75E+09
3190.7368,2.72E+09
3173.2124,2.70E+09
3162.2561,2.67E+09
3067.3938,2.64E+09
2950.4373,2.61E+09
3015.7983,2.58E+09
3048.918,2.55E+09
2970.0442,2.52E+09
3057.0449,2.50E+09
3036.5139,2.47E+09
3099.3469,2.44E+09
3197.2732,2.41E+09
3253.4341,2.38E+09
3188.6152,2.35E+09
3148.0745,2.33E+09
3063.1772,2.30E+09
3119.8389,2.27E+09
3087.4023,2.24E+09
3102.2148,2.21E+09
3144.4919,2.18E+09
3047.2717,2.16E+09
3110.0386,2.13E+09
3101.3833,2.10E+09
3014.6887,2.07E+09
3051.5508,2.04E+09
2998.2822,2.01E+09
2992.7261,1.99E+09
2968.1526,1.96E+09
2803.126,1.93E+09
2635.9922,1.90E+09
2566.4253,1.87E+09
2577.9475,1.84E+09
2598.0569,1.82E+09
2609.5581,1.79E+09
2557.946,1.76E+09
2556.2817,1.73E+09
2508.9441,1.70E+09
2477.7954,1.67E+09
2521.4519,1.65E+09
2435.8152,1.62E+09
2402.8608,1.59E+09
2345.3335,1.56E+09
2380.6289,1.53E+09
2388.189,1.50E+09
2434.7654,1.47E+09
2473.3237,1.45E+09
2404.4714,1.42E+09
2328.8586,1.39E+09
2318.0483,1.36E+09
2329.8081,1.33E+09
2312.0498,1.30E+09
2258.7251,1.28E+09
2208.1023,1.25E+09
2201.6357,1.22E+09
2206.3359,1.19E+09
2209.6606,1.16E+09
2176.0608,1.13E+09
2161.4045,1.11E+09
2180.178,1.08E+09
2222.0847,1.05E+09
2264.6694,1.02E+09
2240.2693,9.92E+08
2247.1409,9.64E+08
2250.9172,9.36E+08
2216.301,9.07E+08
2117.1875,8.79E+08
2148.2661,8.50E+08
2183.5107,8.22E+08
2259.5554,7.94E+08
2263.2175,7.65E+08
2296.8733,7.37E+08
2366.1689,7.09E+08
2397.2417,6.80E+08
2390.9182,6.52E+08
2419.5574,6.23E+08
2438.9312,5.95E+08
2433.9382,5.67E+08
2429.9395,5.38E+08
2396.5564,5.10E+08
2361.9294,4.81E+08
2297.0894,4.53E+08
2250.5024,4.25E+08
2223.1858,3.96E+08
2169.2339,3.68E+08
2150.3298,3.40E+08
2163.7776,3.11E+08
2160.615,2.83E+08
2160.8711,2.54E+08
2142.4541,2.26E+08
2167.4004,1.98E+08
2168.5078,1.69E+08
2109.1306,1.41E+08
2050.4114,1.13E+08
2028.427,84153728
2011.9274,55773284
2000.157,27392836
1976.5624,987612
1954.934,29368060
1942.2021,57748508
1949.5294,86128952
1971.7993,1.15E+08
1949.9745,1.43E+08
1927.3677,1.71E+08
1929.1677,2.00E+08
1970.3193,2.28E+08
2065.3359,2.56E+08
2093.7891,2.85E+08
2132.4299,3.13E+08
2154.2019,3.42E+08
2227.927,3.70E+08
2186.6394,3.98E+08
2140.4771,4.27E+08
2106.6057,4.55E+08
2051.8071,4.83E+08
1974.738,5.12E+08
1913.819,5.40E+08
1911.9041,5.69E+08
1902.3749,5.97E+08
1859.8726,6.25E+08
1851.6761,6.54E+08
1832.582,6.82E+08
1864.3425,7.10E+08
1827.0372,7.39E+08
1827.1068,7.67E+08
1806.7729,7.96E+08
1775.3093,8.24E+08
1763.3995,8.52E+08
1791.5433,8.81E+08
1803.7042,9.09E+08
1824.7184,9.38E+08
1828.9159,9.66E+08
1818.4611,9.94E+08
1772.5217,1.02E+09
1738.222,1.05E+09
1763.4697,1.08E+09
1745.8347,1.11E+09
1705.1945,1.14E+09
1673.6941,1.16E+09
1697.7075,1.19E+09
1703.8132,1.22E+09
1703.0034,1.25E+09
1709.687,1.28E+09
1726.3075,1.31E+09
1728.6278,1.33E+09
1730.6337,1.36E+09
1741.2946,1.39E+09
1773.3357,1.42E+09
1797.0729,1.45E+09
1813.5509,1.48E+09
1765.8035,1.51E+09
1756.3845,1.53E+09
1721.1711,1.56E+09
1709.9797,1.59E+09
1727.3287,1.62E+09
1713.9915,1.65E+09
1695.1392,1.68E+09
1709.79,1.70E+09
1712.34,1.73E+09
1727.4451,1.76E+09
1690.8816,1.79E+09
1646.3134,1.82E+09
1610.8916,1.85E+09
1595.7836,1.87E+09
1580.984,1.90E+09
1576.5889,1.93E+09
1599.5725,1.96E+09
1612.1206,1.99E+09
1621.8226,2.02E+09
1630.3599,2.04E+09
1578.8002,2.07E+09
1551.509,2.10E+09
