Rxx(Ohm),ne(cm-2)
6590.6865,8.01E+09
6725.3989,7.97E+09
6272.3784,7.92E+09
6483.9287,7.87E+09
6638.5605,7.83E+09
6206.9976,7.78E+09
6427.3184,7.74E+09
6365.0464,7.69E+09
5959.2212,7.64E+09
5823.2808,7.60E+09
5764.8638,7.55E+09
5956.7119,7.51E+09
6120.6914,7.46E+09
5831.96,7.42E+09
5963.7295,7.37E+09
6201.6094,7.32E+09
5965.8076,7.28E+09
5670.4565,7.23E+09
5342.2412,7.19E+09
5468.4282,7.14E+09
5258.8848,7.10E+09
5311.1587,7.05E+09
5346.1548,7.00E+09
5920.4092,6.96E+09
5487.0903,6.91E+09
5195.3594,6.87E+09
5322.1182,6.82E+09
5513.6562,6.77E+09
5755.4922,6.73E+09
5876.8081,6.68E+09
6141.3438,6.64E+09
6349.5923,6.59E+09
6575.1826,6.55E+09
7251.6836,6.50E+09
7675.8335,6.45E+09
7780.2612,6.41E+09
7789.7324,6.36E+09
7642.188,6.32E+09
7453.0083,6.27E+09
7061.5923,6.23E+09
6653.7402,6.18E+09
5946.9526,6.13E+09
5036.6055,6.09E+09
4805.3833,6.04E+09
4704.3818,6.00E+09
4350.4448,5.95E+09
4038.843,5.90E+09
4058.7275,5.86E+09
4078.6506,5.81E+09
4171.894,5.77E+09
4235.7993,5.72E+09
4503.3584,5.68E+09
4597.1182,5.63E+09
4553.9302,5.58E+09
4323.8979,5.54E+09
4435.6997,5.49E+09
4536.1694,5.45E+09
4537.647,5.40E+09
4945.7148,5.36E+09
4985.6211,5.31E+09
5006.8979,5.26E+09
4701.3345,5.22E+09
4269.2573,5.17E+09
4245.8286,5.13E+09
4314.689,5.08E+09
4338.2637,5.03E+09
4419.3711,4.99E+09
4540.5991,4.94E+09
4368.4893,4.90E+09
4575.5356,4.85E+09
4728.9316,4.81E+09
4581.2764,4.76E+09
3831.5232,4.71E+09
3993.6743,4.67E+09
3989.9561,4.62E+09
3782.2292,4.58E+09
3863.6152,4.53E+09
3896.3667,4.49E+09
3795.4539,4.44E+09
3717.0723,4.39E+09
3588.1382,4.35E+09
3625.8918,4.30E+09
3706.1116,4.26E+09
3738.1277,4.21E+09
3644.7268,4.16E+09
3690.3174,4.12E+09
3697.9517,4.07E+09
3395.375,4.03E+09
3356.5208,3.98E+09
3402.7905,3.94E+09
3464.947,3.89E+09
3461.8337,3.84E+09
3419.0574,3.80E+09
3314.8735,3.75E+09
3315.8508,3.71E+09
3454.1938,3.66E+09
3562.5459,3.62E+09
3816.7351,3.57E+09
4060.8174,3.52E+09
3942.7705,3.48E+09
3626.2617,3.43E+09
3681.7859,3.39E+09
3707.9878,3.34E+09
3642.5264,3.29E+09
3690.856,3.25E+09
3659.4434,3.20E+09
3570.6426,3.16E+09
3486.3481,3.11E+09
3167.1743,3.07E+09
3010.8191,3.02E+09
2910.6516,2.97E+09
3017.5449,2.93E+09
2993.8838,2.88E+09
2948.8235,2.84E+09
2892.4934,2.79E+09
2847.6326,2.75E+09
2733.011,2.70E+09
2689.5427,2.65E+09
