Rxx(Ohm),ne(cm-2)
9494.7559,1.30E+10
8791.7656,1.29E+10
7380.7241,1.29E+10
7270.6396,1.28E+10
8022.8818,1.27E+10
8419.7822,1.26E+10
8088.4839,1.26E+10
8036.2979,1.25E+10
6951.1294,1.24E+10
6600.8906,1.23E+10
7257.938,1.23E+10
7850.9233,1.22E+10
8452.3105,1.21E+10
8004.2993,1.20E+10
8718.3701,1.20E+10
8547.9941,1.19E+10
8345.6582,1.18E+10
7649.2852,1.17E+10
7653.7461,1.17E+10
6669.5762,1.16E+10
5751.4487,1.15E+10
6259.4707,1.14E+10
6714.02,1.14E+10
7488.5059,1.13E+10
7660.9727,1.12E+10
6908.2026,1.12E+10
6487.2998,1.11E+10
6476.5278,1.10E+10
7531.2158,1.09E+10
7447.7939,1.09E+10
7073.6963,1.08E+10
8245.0752,1.07E+10
8382.5977,1.06E+10
9921.71,1.06E+10
10533.09,1.05E+10
9447.8037,1.04E+10
9788.7891,1.03E+10
10647.279,1.03E+10
10739.495,1.02E+10
9788.7832,1.01E+10
9210.6416,1.00E+10
7782.2534,9.96E+09
5596.4629,9.89E+09
5069.9473,9.81E+09
5331.4741,9.74E+09
5057.833,9.66E+09
4729.5264,9.59E+09
4811.9673,9.52E+09
4822.4932,9.44E+09
4872.3198,9.37E+09
5213.2344,9.29E+09
6330.9868,9.22E+09
5566.7354,9.14E+09
5963.6167,9.07E+09
5195.5537,8.99E+09
5421.1807,8.92E+09
5083.084,8.85E+09
5338.9517,8.77E+09
6136.3784,8.70E+09
6194.2993,8.62E+09
6863.751,8.55E+09
6766.9712,8.47E+09
5823.5483,8.40E+09
5451.0542,8.33E+09
4865.0317,8.25E+09
5109.4336,8.18E+09
4896.9673,8.10E+09
5194.8442,8.03E+09
5593.0991,7.95E+09
5452.7988,7.88E+09
5282.3481,7.80E+09
5512.4155,7.73E+09
5218.7363,7.66E+09
5027.1968,7.58E+09
4612.1714,7.51E+09
4460.0005,7.43E+09
4157.3896,7.36E+09
4211.0029,7.28E+09
4305.3726,7.21E+09
4516.9072,7.14E+09
4174.8477,7.06E+09
4084.1306,6.99E+09
4204.0806,6.91E+09
4317.4902,6.84E+09
4578.626,6.76E+09
4612.3716,6.69E+09
4452.0811,6.62E+09
4097.728,6.54E+09
