Rxx(Ohm),X_axis
10878.164,2.2651551
14374.271,2.2522085
11628.954,2.2392623
10201.08,2.226316
10172.666,2.2133696
9965.5674,2.2004235
9912.9785,2.1874769
10809.919,2.1745307
7960.5107,2.1615844
6978.7773,2.148638
7298.4146,2.1356919
9088.4326,2.1227455
12042.26,2.1097991
12820.271,2.0968528
11175.227,2.0839067
11440.121,2.07096
12888.697,2.0580139
11726.761,2.0450675
9798.2939,2.0321212
7741.8555,2.0191751
7098.7637,2.0062287
6558.2939,1.9932823
7499.0454,1.980336
10571.183,1.9673897
9137.4678,1.9544432
8107.313,1.9414971
6763.7827,1.9285506
8195.2236,1.9156044
7963.2676,1.9026581
10481.661,1.8897117
8794.6055,1.8767655
11512.219,1.863819
12966.962,1.8508729
12882.714,1.8379264
12672.821,1.8249801
13398.468,1.8120339
14270.722,1.7990875
15381.513,1.7861413
14877.043,1.7731949
15499.435,1.7602487
12761.457,1.7473022
11165.757,1.7343559
9403.1152,1.7214096
7049.4961,1.7084633
6406.0679,1.6955169
6935.0781,1.6825707
5921.8374,1.6696243
6332.6157,1.6566781
6225.6636,1.6437317
5299.6484,1.6307855
6349.9453,1.6178391
6629.479,1.6048927
7334.8057,1.5919465
8089.2363,1.5790001
6828.7632,1.5660537
6006.1963,1.5531075
6357.979,1.5401613
7278.5547,1.5272149
5810.3433,1.5142685
6562.335,1.5013223
6526.9756,1.4883759
7619.895,1.4754295
6728.5952,1.4624833
6007.4717,1.449537
5639.833,1.4365907
5801.5391,1.4236444
6504.6997,1.4106981
6101.6919,1.3977517
6101.7812,1.3848053
6058.6567,1.3718591
5208.7764,1.3589127
5847.7422,1.3459665
6169.5107,1.3330202
6114.1304,1.3200738
6393.0889,1.3071275
6507.3198,1.2941812
6853.521,1.2812349
5851.4106,1.2682885
4509.4624,1.2553421
4051.8281,1.242396
4384.3115,1.2294496
4778.333,1.2165033
4746.8994,1.203557
4593.188,1.1906106
4841.7129,1.1776643
4855.0479,1.164718
5071.2056,1.1517717
4536.0571,1.1388254
4009.6523,1.125879
4277.4922,1.1129328
4889.7573,1.0999864
4365.0605,1.0870401
4325.3608,1.0740938
4229.4058,1.0611475
3866.6724,1.0482011
4615.8198,1.0352548
4733.2646,1.0223086
4946.3589,1.0093622
5010.9541,0.99641591
5094.5103,0.98346955
4557.4634,0.97052324
4037.8657,0.95757693
4521.4673,0.94463056
4605.4785,0.93168437
4932.1885,0.91873801
5428.4731,0.9057917
4840.2988,0.89284539
4017.4602,0.87989902
3868.5862,0.86695272
3824.3162,0.85400635
3862.1489,0.8410601
4101.1787,0.82811379
4134.6865,0.81516743
3503.1877,0.80222112
3571.6956,0.78927481
3617.8333,0.7763285
3667.2388,0.7633822
3113.8689,0.75043583
3128.605,0.73748958
3371.031,0.72454321
3684.6846,0.71159691
3523.584,0.6986506
3596.4822,0.68570429
3499.814,0.67275798
3533.3826,0.65981162
3624.9473,0.64686531
4196.813,0.633919
4060.9915,0.62097269
4177.1743,0.60802639
3043.7798,0.59508002
2827.9436,0.58213377
2709.8208,0.5691874
2872.7219,0.5562411
3070.1536,0.54329479
2977.3569,0.53034848
2706.6223,0.51740217
2680.4392,0.5044558
2752.4888,0.4915095
3053.6345,0.47856322
3345.426,0.46561688
3170.8699,0.45267057
3010.9084,0.43972424
3080.6531,0.42677793
2975.9141,0.41383162
2661.0601,0.40088531
2655.5691,0.38793901
2664.7925,0.37499267
2583.6367,0.36204636
2500.8044,0.34910002
2573.9951,0.33615372
2591.2617,0.32320741
2278.3784,0.3102611
2364.0403,0.29731476
2526.2615,0.28436846
3125.6309,0.27142212
3332.1392,0.25847584
3081.8362,0.2455295
2579.4497,0.23258319
2574.8643,0.21963686
2381.1296,0.20669055
2216.8894,0.19374423
2200.9038,0.18079792
2246.3508,0.1678516
2125.8374,0.15490527
2252.1277,0.14195897
2204.2705,0.12901264
2263.3633,0.11606633
2516.1414,0.10312002
2431.6274,0.090173699
2459.1353,0.077227384
2502.3418,0.064281061
2361.3145,0.05133475
2091.2361,0.038388431
2113.9824,0.025442116
2283.3555,0.012495798
2155.0571,0.000450519
2094.4048,0.013396836
1970.9092,0.026343154
2006.4044,0.039289467
1834.874,0.052235786
1687.8344,0.065182105
1646.7827,0.07812842
1700.6245,0.091074742
1668.7714,0.10402106
1780.0062,0.11696737
1795.4438,0.12991369
1741.6757,0.14286001
1743.4073,0.15580632
1753.4783,0.16875264
2008.3389,0.18169896
2053.8733,0.19464527
1972.5526,0.20759159
1860.4933,0.2205379
1604.1528,0.23348424
1615.533,0.24643055
1537.7673,0.25937688
1502.8517,0.27232316
1618.0884,0.2852695
1679.8011,0.29821581
1652.3204,0.31116214
1521.3711,0.32410845
1570.0715,0.33705476
1580.7908,0.35000107
1545.4458,0.3629474
1593.4043,0.37589371
1584.6184,0.38884005
1677.5625,0.40178636
1617.3138,0.41473266
1559.9614,0.42767897
1517.2585,0.44062531
1411.0104,0.45357165
1386.3479,0.46651793
1273.1829,0.47946423
1307.5406,0.49241057
1263.563,0.50535691
1237.0896,0.51830316
1177.1318,0.53124952
1147.3583,0.54419583
1164.756,0.5571422
1239.8143,0.57008845
1279.85,0.58303475
1278.4095,0.59598112
1207.1587,0.60892743
1149.0295,0.62187374
1122.1813,0.63482004
1190.6809,0.64776635
1235.3573,0.66071272
1160.0497,0.67365897
1010.389,0.68660533
990.80377,0.69955164
1028.4246,0.71249795
1024.6821,0.72544426
1008.4503,0.73839056
1000.8168,0.75133693
929.64124,0.76428324
899.15881,0.77722949
912.46826,0.79017586
936.2937,0.80312216
910.32263,0.81606853
939.56586,0.82901478
896.0166,0.84196109
837.37915,0.85490745
817.51526,0.8678537
826.73676,0.88080007
800.37708,0.89374638
746.9325,0.90669268
749.76318,0.91963905
792.09985,0.93258536
783.85107,0.94553173
722.87878,0.95847791
668.02612,0.97142428
663.0531,0.98437059
609.5874,0.9973169
578.41803,1.0102632
592.87524,1.0232096
604.17932,1.0361559
592.76001,1.0491022
592.27588,1.0620484
567.26654,1.0749948
558.96875,1.0879412
505.45447,1.1008874
504.91748,1.1138338
553.40564,1.1267802
550.2157,1.1397264
514.51935,1.1526728
449.14923,1.165619
423.63181,1.1785654
419.44128,1.1915116
420.13086,1.204458
429.12732,1.2174044
425.20428,1.2303506
414.72577,1.243297
392.13257,1.2562433
383.40765,1.2691895
368.29669,1.2821358
369.80399,1.2950822
361.85413,1.3080285
350.64948,1.3209748
270.78625,1.3339212
285.88297,1.3468676
296.4931,1.3598138
279.36673,1.3727602
283.20389,1.3857064
284.23831,1.3986527
265.92346,1.411599
274.28604,1.4245454
266.32236,1.4374917
261.73959,1.450438
259.28659,1.4633844
226.09705,1.4763308
224.92018,1.4892769
223.10643,1.5022233
218.68839,1.5151696
212.2072,1.5281159
199.17691,1.5410622
176.17435,1.5540086
173.83597,1.5669549
179.59216,1.5799012
181.85121,1.5928475
178.83485,1.6057938
177.70998,1.6187401
174.49895,1.6316864
174.71701,1.6446328
176.15092,1.6575791
152.77046,1.6705254
125.38232,1.6834718
128.85872,1.696418
131.79187,1.7093643
138.84294,1.7223107
142.21095,1.735257
134.29208,1.7482033
112.76868,1.7611495
115.54731,1.774096
117.37235,1.7870423
111.67263,1.7999886
106.59771,1.8129349
97.423538,1.8258812
50.551563,1.8388275
87.760803,1.8517737
97.377075,1.8647202
106.06236,1.8776664
99.526459,1.8906128
94.703804,1.9035591
87.257866,1.9165055
89.973099,1.9294517
85.708481,1.9423982
85.942291,1.9553444
79.457001,1.9682906
76.273224,1.9812371
73.158264,1.9941833
78.481865,2.0071297
78.886871,2.020076
81.763687,2.0330224
79.022804,2.0459685
78.169731,2.0589149
69.87178,2.0718613
72.2089,2.0848074
74.659264,2.097754
75.152512,2.1107001
77.875496,2.1236465
72.737022,2.1365929
66.58419,2.1495392
63.017818,2.1624854
61.908375,2.1754317
64.865005,2.1883781
62.971436,2.2013242
60.958748,2.2142708
57.650398,2.227217
60.552528,2.2401633
66.576721,2.2531097
64.338493,2.2660558
71.668732,2.2790024
63.710289,2.2919486
66.138611,2.3048949
65.320602,2.3178413
48.774193,2.3307877
48.560623,2.3437338
44.452862,2.3566804
43.592625,2.3696265
51.469639,2.3825727
50.914948,2.3955193
48.352844,2.4084654
58.938854,2.4214118
53.570549,2.4343581
45.807518,2.4473045
46.324284,2.4602506
43.537884,2.4731972
34.011665,2.4861434
39.436054,2.4990897
36.693222,2.5120361
38.385277,2.5249822
37.078381,2.5379288
35.421078,2.5508749
35.899612,2.5638213
36.855091,2.5767677
38.289169,2.5897138
32.278179,2.6026602
39.606197,2.6156065
