Rxx(Ohm),ne(cm-2)
10878.164,2.27E+10
14374.271,2.25E+10
11628.954,2.24E+10
10201.08,2.23E+10
10172.666,2.21E+10
9965.5674,2.20E+10
9912.9785,2.19E+10
10809.919,2.17E+10
7960.5107,2.16E+10
6978.7773,2.15E+10
7298.4146,2.14E+10
9088.4326,2.12E+10
12042.26,2.11E+10
12820.271,2.10E+10
11175.227,2.08E+10
11440.121,2.07E+10
12888.697,2.06E+10
11726.761,2.05E+10
9798.2939,2.03E+10
7741.8555,2.02E+10
7098.7637,2.01E+10
6558.2939,1.99E+10
7499.0454,1.98E+10
10571.183,1.97E+10
9137.4678,1.95E+10
8107.313,1.94E+10
6763.7827,1.93E+10
8195.2236,1.92E+10
7963.2676,1.90E+10
10481.661,1.89E+10
8794.6055,1.88E+10
11512.219,1.86E+10
12966.962,1.85E+10
12882.714,1.84E+10
12672.821,1.82E+10
13398.468,1.81E+10
14270.722,1.80E+10
15381.513,1.79E+10
14877.043,1.77E+10
15499.435,1.76E+10
12761.457,1.75E+10
11165.757,1.73E+10
9403.1152,1.72E+10
7049.4961,1.71E+10
6406.0679,1.70E+10
6935.0781,1.68E+10
5921.8374,1.67E+10
6332.6157,1.66E+10
6225.6636,1.64E+10
5299.6484,1.63E+10
6349.9453,1.62E+10
6629.479,1.60E+10
7334.8057,1.59E+10
8089.2363,1.58E+10
6828.7632,1.57E+10
6006.1963,1.55E+10
6357.979,1.54E+10
7278.5547,1.53E+10
5810.3433,1.51E+10
6562.335,1.50E+10
6526.9756,1.49E+10
7619.895,1.48E+10
6728.5952,1.46E+10
6007.4717,1.45E+10
5639.833,1.44E+10
5801.5391,1.42E+10
6504.6997,1.41E+10
6101.6919,1.40E+10
6101.7812,1.38E+10
6058.6567,1.37E+10
5208.7764,1.36E+10
5847.7422,1.35E+10
6169.5107,1.33E+10
6114.1304,1.32E+10
6393.0889,1.31E+10
6507.3198,1.29E+10
6853.521,1.28E+10
5851.4106,1.27E+10
4509.4624,1.26E+10
4051.8281,1.24E+10
4384.3115,1.23E+10
4778.333,1.22E+10
4746.8994,1.20E+10
4593.188,1.19E+10
4841.7129,1.18E+10
4855.0479,1.16E+10
5071.2056,1.15E+10
4536.0571,1.14E+10
4009.6523,1.13E+10
4277.4922,1.11E+10
4889.7573,1.10E+10
4365.0605,1.09E+10
4325.3608,1.07E+10
4229.4058,1.06E+10
3866.6724,1.05E+10
4615.8198,1.04E+10
4733.2646,1.02E+10
4946.3589,1.01E+10
5010.9541,9.96E+09
5094.5103,9.83E+09
4557.4634,9.71E+09
4037.8657,9.58E+09
4521.4673,9.45E+09
4605.4785,9.32E+09
4932.1885,9.19E+09
5428.4731,9.06E+09
4840.2988,8.93E+09
4017.4602,8.80E+09
3868.5862,8.67E+09
3824.3162,8.54E+09
3862.1489,8.41E+09
4101.1787,8.28E+09
4134.6865,8.15E+09
3503.1877,8.02E+09
3571.6956,7.89E+09
3617.8333,7.76E+09
3667.2388,7.63E+09
3113.8689,7.50E+09
3128.605,7.37E+09
3371.031,7.25E+09
3684.6846,7.12E+09
3523.584,6.99E+09
3596.4822,6.86E+09
3499.814,6.73E+09
3533.3826,6.60E+09
3624.9473,6.47E+09
4196.813,6.34E+09
4060.9915,6.21E+09
4177.1743,6.08E+09
3043.7798,5.95E+09
2827.9436,5.82E+09
2709.8208,5.69E+09
2872.7219,5.56E+09
3070.1536,5.43E+09
2977.3569,5.30E+09
2706.6223,5.17E+09
2680.4392,5.04E+09
2752.4888,4.92E+09
3053.6345,4.79E+09
3345.426,4.66E+09
3170.8699,4.53E+09
3010.9084,4.40E+09
3080.6531,4.27E+09
2975.9141,4.14E+09
2661.0601,4.01E+09
2655.5691,3.88E+09
2664.7925,3.75E+09
2583.6367,3.62E+09
2500.8044,3.49E+09
2573.9951,3.36E+09
2591.2617,3.23E+09
2278.3784,3.10E+09
2364.0403,2.97E+09
2526.2615,2.84E+09
3125.6309,2.71E+09
3332.1392,2.58E+09
3081.8362,2.46E+09
2579.4497,2.33E+09
2574.8643,2.20E+09
2381.1296,2.07E+09
2216.8894,1.94E+09
2200.9038,1.81E+09
2246.3508,1.68E+09
2125.8374,1.55E+09
2252.1277,1.42E+09
2204.2705,1.29E+09
2263.3633,1.16E+09
2516.1414,1.03E+09
2431.6274,9.02E+08
2459.1353,7.72E+08
2502.3418,6.43E+08
2361.3145,5.13E+08
2091.2361,3.84E+08
2113.9824,2.54E+08
2283.3555,1.25E+08
2155.0571,4505192.5
2094.4048,1.34E+08
