Rxx(Ohm),ne(cm-2)
12683.58,3.13E+10
16017.305,3.12E+10
13519.274,3.10E+10
9971.7275,3.08E+10
13519.855,3.06E+10
10045.882,3.04E+10
9381.7568,3.03E+10
13218.666,3.01E+10
8654.5156,2.99E+10
7699.9795,2.97E+10
9525.915,2.95E+10
10794.308,2.94E+10
12664.289,2.92E+10
12459.094,2.90E+10
12535.2,2.88E+10
10647.189,2.86E+10
14835.78,2.85E+10
17011.488,2.83E+10
14832.018,2.81E+10
10609.751,2.79E+10
9914.1582,2.77E+10
8300.3643,2.76E+10
8625.2002,2.74E+10
13920.683,2.72E+10
12848.632,2.70E+10
11247.229,2.69E+10
9030.2871,2.67E+10
10304.159,2.65E+10
8851.5928,2.63E+10
12633.625,2.61E+10
13452.928,2.60E+10
11062.279,2.58E+10
12318.296,2.56E+10
14031.889,2.54E+10
16803.125,2.52E+10
15978.894,2.51E+10
12697.732,2.49E+10
17135.338,2.47E+10
16168.207,2.45E+10
16379.971,2.43E+10
14165.499,2.42E+10
13047.522,2.40E+10
11945.791,2.38E+10
8482.1953,2.36E+10
7497.0034,2.35E+10
6948.0269,2.33E+10
5347.1738,2.31E+10
5224.4355,2.29E+10
5725.5293,2.27E+10
5175.5562,2.26E+10
5610.0571,2.24E+10
6032.8979,2.22E+10
7528.0557,2.20E+10
7904.1499,2.18E+10
7146.9619,2.17E+10
7788.8774,2.15E+10
7391.7944,2.13E+10
9489.1074,2.11E+10
7606.02,2.09E+10
7621.4839,2.08E+10
9880.6641,2.06E+10
10381.3,2.04E+10
11215.231,2.02E+10
7344.5317,2.00E+10
7319.1841,1.99E+10
6685.8232,1.97E+10
6908.1846,1.95E+10
7326.3242,1.93E+10
7390.9619,1.92E+10
7301.2163,1.90E+10
6608.8452,1.88E+10
6806.4058,1.86E+10
7475.042,1.84E+10
8445.1074,1.83E+10
7513.5005,1.81E+10
7103.3096,1.79E+10
5833.6973,1.77E+10
5383.3833,1.75E+10
4790.6641,1.74E+10
5076.9385,1.72E+10
5047.7251,1.70E+10
4832.4629,1.68E+10
5535.1509,1.66E+10
4868.1602,1.65E+10
5095.4355,1.63E+10
5443.7065,1.61E+10
5958.0781,1.59E+10
6395.9683,1.58E+10
4976.2339,1.56E+10
5490.9404,1.54E+10
6450.8696,1.52E+10
5440.6318,1.50E+10
5072.3691,1.49E+10
3971.2681,1.47E+10
4490.2896,1.45E+10
5464.7017,1.43E+10
6121.7197,1.41E+10
6218.6772,1.40E+10
6630.6279,1.38E+10
6072.6392,1.36E+10
5380.1812,1.34E+10
4724.5029,1.32E+10
4966.4541,1.31E+10
5063.6201,1.29E+10
5761.6562,1.27E+10
6324.8916,1.25E+10
5391.9971,1.23E+10
4929.938,1.22E+10
4592.2788,1.20E+10
4721.3555,1.18E+10
4226.3525,1.16E+10
4486.0801,1.15E+10
4537.0645,1.13E+10
4010.0095,1.11E+10
3851.4756,1.09E+10
3798.5002,1.07E+10
4011.1589,1.06E+10
3089.8411,1.04E+10
3022.1912,1.02E+10
3794.2812,1.00E+10
3563.1196,9.84E+09
3925.4956,9.66E+09
3974.8342,9.48E+09
3855.5356,9.31E+09
3379.6382,9.13E+09
3400.4209,8.95E+09
3900.4617,8.77E+09
4073.2478,8.59E+09
5032.2227,8.41E+09
3448.061,8.23E+09
2983.4417,8.05E+09
3342.9255,7.87E+09
3206.9023,7.69E+09
2775.6638,7.51E+09
2933.3323,7.34E+09
2567.5422,7.16E+09
2543.7358,6.98E+09
2617.593,6.80E+09
2964.6785,6.62E+09
3096.2476,6.44E+09
2970.9854,6.26E+09
3069.5723,6.08E+09
3075.2258,5.90E+09
2980.0054,5.72E+09
2718.1311,5.54E+09
2476.0679,5.37E+09
2420.0159,5.19E+09
2355.7075,5.01E+09
2448.5776,4.83E+09
2616.2732,4.65E+09
2443.3906,4.47E+09
2220.8855,4.29E+09
2325.0356,4.11E+09
2699.3982,3.93E+09
3363.7375,3.75E+09
3561.1653,3.58E+09
3318.1011,3.40E+09
2845.5679,3.22E+09
2950.969,3.04E+09
2708.6411,2.86E+09
2412.9399,2.68E+09
2413.5469,2.50E+09
2409.9709,2.32E+09
2232.3264,2.14E+09
2521.22,1.96E+09
2394.1758,1.78E+09
2177.5022,1.61E+09
2318.6943,1.43E+09
2368.4705,1.25E+09
2584.1406,1.07E+09
2785.1924,8.89E+08
2572.7629,7.10E+08
2188.249,5.31E+08
2320.4414,3.52E+08
2573.989,1.73E+08
2487.1665,6231410.5
2157.5125,1.85E+08
2039.8656,3.64E+08
2270.8188,5.43E+08
1842.4641,7.23E+08
1690.504,9.02E+08
1482.4976,1.08E+09
1620.7281,1.26E+09
1642.954,1.44E+09
1895.9402,1.62E+09
1755.6464,1.80E+09
1641.5408,1.98E+09
1510.7871,2.16E+09
1674.7816,2.33E+09
1908.0636,2.51E+09
1806.198,2.69E+09
1661.075,2.87E+09
1593.0563,3.05E+09
1448.2943,3.23E+09
1363.0968,3.41E+09
1338.7279,3.59E+09
1171.9375,3.77E+09
1335.5624,3.95E+09
1402.0938,4.12E+09
1550.5878,4.30E+09
1461.6205,4.48E+09
1489.0049,4.66E+09
1452.2091,4.84E+09
1371.5018,5.02E+09
1497.5284,5.20E+09
1439.9551,5.38E+09
1542.7166,5.56E+09
1474.5491,5.74E+09
1557.5933,5.92E+09
1432.2565,6.09E+09
1431.7648,6.27E+09
1314.6025,6.45E+09
1179.8051,6.63E+09
1168.92,6.81E+09
1188.5966,6.99E+09
1079.8629,7.17E+09
1028.4951,7.35E+09
1056.5012,7.53E+09
1025.3331,7.71E+09
1012.087,7.89E+09
987.24329,8.06E+09
972.28204,8.24E+09
989.48956,8.42E+09
985.35089,8.60E+09
890.81995,8.78E+09
925.6355,8.96E+09
1003.8076,9.14E+09
997.47052,9.32E+09
833.63928,9.50E+09
791.46228,9.68E+09
775.33423,9.85E+09
818.00787,1.00E+10
805.3255,1.02E+10
819.36523,1.04E+10
758.15063,1.06E+10
717.19177,1.08E+10
743.40912,1.09E+10
707.57172,1.11E+10
660.65961,1.13E+10
740.703,1.15E+10
685.19873,1.16E+10
592.80786,1.18E+10
602.05481,1.20E+10
646.25238,1.22E+10
602.41803,1.24E+10
536.39087,1.25E+10
582.91797,1.27E+10
566.44324,1.29E+10
563.11536,1.31E+10
520.73871,1.33E+10
489.58911,1.34E+10
445.62509,1.36E+10
434.67188,1.38E+10
417.18466,1.40E+10
438.78317,1.42E+10
434.12219,1.43E+10
396.88919,1.45E+10
379.87326,1.47E+10
377.61432,1.49E+10
341.72501,1.50E+10
313.09528,1.52E+10
307.46628,1.54E+10
319.03796,1.56E+10
317.08734,1.58E+10
294.69757,1.59E+10
257.04163,1.61E+10
239.55634,1.63E+10
240.36295,1.65E+10
241.16711,1.67E+10
238.92053,1.68E+10
245.07419,1.70E+10
250.08446,1.72E+10
224.43958,1.74E+10
198.96066,1.76E+10
184.73714,1.77E+10
173.6619,1.79E+10
176.31073,1.81E+10
186.99158,1.83E+10
134.80209,1.85E+10
143.81148,1.86E+10
145.40134,1.88E+10
122.38854,1.90E+10
117.52586,1.92E+10
120.034,1.93E+10
104.89004,1.95E+10
128.0352,1.97E+10
115.37017,1.99E+10
124.41875,2.01E+10
128.84203,2.02E+10
108.60532,2.04E+10
105.12006,2.06E+10
101.30112,2.08E+10
107.83655,2.10E+10
101.07952,2.11E+10
104.72906,2.13E+10
82.467987,2.15E+10
79.802658,2.17E+10
95.576126,2.19E+10
87.730377,2.20E+10
93.301407,2.22E+10
78.642967,2.24E+10
77.562752,2.26E+10
75.273262,2.27E+10
84.988701,2.29E+10
71.171547,2.31E+10
57.79771,2.33E+10
56.668446,2.35E+10
64.629265,2.36E+10
62.397942,2.38E+10
58.823826,2.40E+10
64.251053,2.42E+10
56.540878,2.44E+10
52.570404,2.45E+10
53.87904,2.47E+10
52.655376,2.49E+10
55.504765,2.51E+10
50.056217,2.53E+10
12.18546,2.54E+10
47.813419,2.56E+10
46.428585,2.58E+10
52.939575,2.60E+10
47.735489,2.62E+10
48.29232,2.63E+10
49.328239,2.65E+10
39.238777,2.67E+10
42.169945,2.69E+10
45.232635,2.70E+10
43.206078,2.72E+10
42.205326,2.74E+10
34.600857,2.76E+10
36.920135,2.78E+10
34.727348,2.79E+10
36.902264,2.81E+10
43.100388,2.83E+10
35.864273,2.85E+10
33.752052,2.87E+10
29.058641,2.88E+10
34.827457,2.90E+10
42.914341,2.92E+10
41.560303,2.94E+10
39.376709,2.96E+10
33.604362,2.97E+10
33.5126,2.99E+10
36.243687,3.01E+10
37.668354,3.03E+10
31.002022,3.04E+10
30.553015,3.06E+10
27.238619,3.08E+10
31.098753,3.10E+10
34.115742,3.12E+10
34.842468,3.13E+10
32.194557,3.15E+10
36.272552,3.17E+10
34.314682,3.19E+10
34.587772,3.21E+10
23.372545,3.22E+10
15.105879,3.24E+10
17.337282,3.26E+10
15.238738,3.28E+10
17.019735,3.30E+10
18.521036,3.31E+10
18.35445,3.33E+10
14.820532,3.35E+10
15.289948,3.37E+10
12.089788,3.39E+10
16.119043,3.40E+10
14.620154,3.42E+10
8.4426346,3.44E+10
13.808939,3.46E+10
14.585125,3.47E+10
12.901039,3.49E+10
18.785896,3.51E+10
7.8446817,3.53E+10
13.374967,3.55E+10
7.8596973,3.56E+10
10.358258,3.58E+10
12.696811,3.60E+10
11.861102,3.62E+10
8.6006107,3.64E+10
11.310804,3.65E+10
7.5198617,3.67E+10
10.799709,3.69E+10
9.9049683,3.71E+10
18.660416,3.73E+10
13.210553,3.74E+10
10.907851,3.76E+10
14.291175,3.78E+10
6.6738253,3.80E+10
9.3599997,3.81E+10
8.3939171,3.83E+10
7.4347467,3.85E+10
11.031289,3.87E+10
8.3322382,3.89E+10
10.872677,3.90E+10
13.167179,3.92E+10
8.9776325,3.94E+10
7.4347467,3.96E+10
1.8301052,3.98E+10
5.0783329,3.99E+10
12.490283,4.01E+10
9.7860518,4.03E+10
5.6583261,4.05E+10
1.7982802,4.07E+10
4.7468414,4.08E+10
4.2284117,4.10E+10
3.7163119,4.12E+10
6.6172724,4.14E+10
1.0301323,4.16E+10
4.6769357,4.17E+10
5.4421282,4.19E+10
5.0783329,4.21E+10
7.9139862,4.23E+10
10.626635,4.24E+10
5.6080089,4.26E+10
0.39219382,4.28E+10
11.32808,4.30E+10
7.4704685,4.32E+10
