Rxx(Ohm),X_axis
10304.561,1.5052856
9457.8643,1.4966823
8509.0928,1.488079
9379.3633,1.4794756
8313.7861,1.4708723
8048.8936,1.4622689
8098.2749,1.4536656
8197.7539,1.4450623
6505.5752,1.4364589
6976.7622,1.4278556
7743.5786,1.4192523
8836.4023,1.4106489
8601.9043,1.4020455
8378.541,1.3934422
8781.5391,1.3848388
9320.8184,1.3762355
8714.2568,1.3676322
8452.9805,1.3590288
7769.1597,1.3504255
7034.6201,1.3418221
5951.8398,1.3332188
6599.7271,1.3246155
7277.1562,1.3160121
8102.2729,1.3074087
7343.2217,1.2988054
7883.3945,1.290202
7062.187,1.2815987
6763.3232,1.2729954
7485.5576,1.264392
8520.332,1.2557887
8232.293,1.2471853
7980.8096,1.238582
8994.5234,1.2299787
8727.2041,1.2213752
9721.8604,1.2127719
9157.9697,1.2041686
8983.9531,1.1955652
11569.475,1.1869619
10381.249,1.1783586
10655.127,1.1697552
9384.6318,1.1611519
9083.3203,1.1525486
6533.7466,1.1439452
5655.4126,1.1353419
5316.7163,1.1267385
5508.355,1.1181352
5012.7539,1.1095319
4699.1519,1.1009285
4818.8052,1.0923252
4943.1436,1.0837219
5118.6064,1.0751185
5883.6235,1.0665152
5849.1597,1.0579118
5809.0024,1.0493084
5427.7524,1.0407051
5637.7065,1.0321018
5820.1792,1.0234984
4800.0151,1.0148951
5468.7705,1.0062917
6473.0396,0.99768841
7399.208,0.98908508
6989.4819,0.98048174
6257.1392,0.97187841
5898.1924,0.96327507
5250.3623,0.95467174
5473.1489,0.94606841
5035.916,0.93746501
5629.3218,0.92886168
5710.0483,0.92025834
5536.9185,0.91165501
5066.9868,0.90305156
5289.9932,0.89444822
5194.71,0.88584489
5483.8276,0.87724155
5370.6338,0.86863822
5212.5898,0.86003488
4968.0151,0.85143155
4506.9727,0.84282821
4096.3599,0.83422488
4321.376,0.82562155
4255.728,0.81701821
3963.9453,0.80841488
4205.5112,0.79981148
4005.4592,0.79120815
4283.3877,0.78260481
4335.4341,0.77400148
4437.7314,0.76539814
4007.166,0.75679475
4171.1626,0.74819142
4462.4438,0.73958808
4640.6704,0.73098475
4137.4761,0.72238141
3620.5327,0.71377808
3282.6965,0.70517474
3508.5618,0.69657141
3852.9243,0.68796808
4453.5586,0.67936468
4447.2178,0.67076135
4632.6484,0.66215801
4490.6162,0.65355468
3936.1746,0.64495134
3860.2861,0.63634801
4261.1338,0.62774467
4567.3813,0.61914134
4616.0137,0.61053801
4051.0728,0.60193467
3539.2861,0.59333128
3313.6692,0.58472788
3332.1926,0.57612455
3403.3254,0.56752121
3570.0234,0.55891788
3720.5884,0.55031455
3778.7434,0.54171121
3510.5901,0.53310788
3442.9651,0.52450454
3380.4912,0.51590121
3333.5432,0.50729781
3016.4102,0.49869451
3068.0615,0.49009117
3287.4683,0.48148781
3017.8901,0.47288448
2889.5637,0.46428114
2965.9468,0.45567781
3056.0012,0.44707444
2999.8132,0.43847111
3086.8481,0.42986777
3346.1941,0.42126441
3519.1367,0.41266108
3541.2759,0.40405774
2909.165,0.39545438
2673.9109,0.38685104
2687.4163,0.37824771
2744.8926,0.36964437
2789.3325,0.36104101
2644.4932,0.35243767
2811.7976,0.34383434
2996.2283,0.33523098
2930.6284,0.32662764
3010.7949,0.31802431
3026.05,0.30942094
3042.1494,0.30081761
3079.7004,0.29221427
2922.53,0.28361094
2726.011,0.27500758
2882.8994,0.26640424
2971.2661,0.25780091
2911.0591,0.24919757
2746.0703,0.24059422
2676.1638,0.23199086
2592.6262,0.22338752
2267.3235,0.21478418
2325.989,0.20618084
2453.2056,0.19757749
2754.2505,0.18897416
2977.2512,0.18037082
2995.1277,0.17176747
2936.582,0.16316414
2652.1145,0.15456077
2592.8774,0.14595744
2519.1924,0.13735411
2467.7522,0.12875076
2386.8384,0.12014741
2382.3652,0.11154408
2272.9451,0.10294073
2316.1672,0.094337381
2314.1965,0.08573404
2489.4404,0.077130698
2419.1323,0.068527356
2336.6255,0.059924014
2435.2976,0.051320668
2435.2112,0.042717326
2442.0225,0.034113985
2447.8213,0.025510641
2412.8911,0.016907297
2446.7456,0.008303955
2211.4832,0.000299388
2107.7051,0.008902731
2071.9097,0.017506074
2065.5627,0.026109418
2000.0419,0.034712758
1751.6344,0.043316104
1728.574,0.051919445
1975.7233,0.060522791
1995.1671,0.069126129
1999.8608,0.077729471
1952.983,0.08633282
1840.6437,0.094936162
1922.1301,0.1035395
2150.2524,0.11214285
