Rxx(Ohm),T(mK)
,4
,12
89.572823,20
91.080498,28
91.827568,36
93.341331,44
93.412903,52
93.960419,60
93.504745,68
93.454842,76
95.645615,84
97.657158,92
99.238701,100
101.9968,108
102.59386,116
106.65103,124
108.52871,132
107.05618,140
109.86909,148
111.20382,156
113.47528,164
114.73933,172
117.56219,180
117.95564,188
120.39206,196
121.56419,204
124.0763,212
125.97005,220
130.50583,228
133.11328,236
135.11356,244
138.39192,252
140.45665,260
144.07269,268
148.48412,276
152.4099,284
155.76266,292
157.99886,300
161.25444,308
162.52753,316
161.87497,324
165.88779,332
170.44458,340
171.98247,348
172.50668,356
173.20493,364
176.21519,372
180.44843,380
182.83118,388
184.4436,396
185.33951,404
186.86668,412
188.36691,420
189.93274,428
192.18848,436
193.17668,444
195.07954,452
198.81293,460
200.72568,468
202.18152,476
203.40498,484
204.87222,492
205.16283,500
209.23398,508
210.06047,516
209.78995,524
210.36049,532
210.32446,540
213.76804,548
213.67656,556
214.61563,564
216.68361,572
217.98524,580
218.43555,588
218.11679,596
218.71437,604
220.27928,612
220.66612,620
221.70744,628
221.53363,636
221.87625,644
223.455,652
222.91661,660
221.10922,668
221.84328,676
221.98793,684
221.05624,692
219.03558,700
221.13043,708
223.1344,716
225.39093,724
225.33481,732
225.34959,740
225.05951,748
226.22139,756
231.57758,764
232.33029,772
232.01498,780
231.30997,788
232.82089,796
231.82475,804
231.88425,812
231.53497,820
231.58066,828
232.86409,836
232.78082,844
231.86632,852
231.78648,860
233.58377,868
234.1656,876
233.95752,884
231.64592,892
232.86679,900
232.04262,908
232.12531,916
232.32623,924
233.59277,932
234.81671,940
232.50423,948
233.0087,956
233.0473,964
234.09044,972
233.29677,980
234.13271,988
232.44235,996
