Rxx(Ohm),T(mK)
,4
,12
41.241173,20
46.401203,28
46.770615,36
47.483208,44
47.386806,52
48.461845,60
47.464725,68
50.131134,76
48.868439,84
48.95293,92
51.85741,100
50.261406,108
51.207294,116
52.50462,124
56.282043,132
60.074898,140
61.11145,148
62.824291,156
64.842781,164
66.3936,172
69.280708,180
70.560127,188
73.409195,196
74.693344,204
76.593567,212
78.103722,220
79.559708,228
82.296249,236
84.423134,244
87.921104,252
89.977051,260
93.526184,268
95.95179,276
97.770737,284
101.76622,292
104.15868,300
106.42723,308
108.57088,316
111.82484,324
114.57279,332
117.16491,340
120.94888,348
125.50616,356
128.34692,364
132.19685,372
135.6826,380
138.48564,388
141.38683,396
142.46948,404
144.56834,412
149.06618,420
154.54761,428
156.51714,436
158.80077,444
163.66428,452
165.52692,460
164.58524,468
167.08791,476
171.6972,484
175.83989,492
178.9567,500
181.40175,508
183.39537,516
187.34822,524
188.36595,532
191.03963,540
193.93393,548
195.87752,556
197.78995,564
198.57294,572
201.93446,580
201.06931,588
204.06184,596
206.92625,604
208.38763,612
209.66055,620
212.96635,628
213.69286,636
217.39873,644
217.44278,652
218.5614,660
217.04767,668
217.90472,676
219.42662,684
219.8506,692
222.28497,700
225.00795,708
228.09775,716
228.54105,724
229.75052,732
232.96855,740
232.22261,748
228.27658,756
228.71741,764
228.14612,772
228.94408,780
230.80989,788
230.92397,796
232.6537,804
233.88039,812
232.91579,820
234.41991,828
234.92793,836
235.92719,844
237.95618,852
237.89592,860
235.69218,868
233.22766,876
231.79572,884
233.98192,892
234.76872,900
236.47604,908
236.28513,916
237.40993,924
236.76208,932
237.68666,940
236.88275,948
236.71947,956
236.65518,964
237.42691,972
238.71021,980
237.06992,988
236.86432,996
