ne(cm-2),Rxx(Ohm)
9E+12,59.246372
8.99287E+12,61.783264
8.98573E+12,61.792549
8.9786E+12,62.682514
8.97146E+12,65.665062
8.96433E+12,67.483673
8.95719E+12,62.513504
8.95006E+12,68.725807
8.94293E+12,67.986221
8.93579E+12,69.718269
8.92866E+12,73.760216
8.92152E+12,73.772995
8.91439E+12,73.676865
8.90725E+12,73.273582
8.90012E+12,76.393272
8.89298E+12,74.575195
8.88585E+12,75.511726
8.87872E+12,77.582634
8.87158E+12,75.802902
8.86445E+12,78.193527
8.85731E+12,82.263908
8.85018E+12,83.655746
8.84304E+12,76.754257
8.83591E+12,78.227089
8.82878E+12,79.118248
8.82164E+12,78.055626
8.81451E+12,81.422966
8.80737E+12,81.662102
8.80024E+12,79.94809
8.7931E+12,82.393692
8.78597E+12,85.601868
8.77883E+12,84.949097
8.7717E+12,85.563622
8.76457E+12,82.631386
8.75743E+12,83.444046
8.7503E+12,79.416237
8.74316E+12,80.026093
8.73603E+12,78.437447
8.72889E+12,81.263893
8.72176E+12,86.999184
8.71463E+12,83.742012
8.70749E+12,85.601868
8.70036E+12,89.657211
8.69322E+12,88.620193
8.68609E+12,83.064133
8.67895E+12,85.378227
8.67182E+12,85.72541
8.66468E+12,85.84391
8.65755E+12,88.51178
8.65042E+12,88.328934
8.64328E+12,88.904877
8.63615E+12,91.232628
8.62901E+12,89.697548
8.62188E+12,94.446732
8.61474E+12,95.026733
8.60761E+12,97.568909
8.60048E+12,100.19215
8.59334E+12,100.02749
8.58621E+12,95.02626
8.57907E+12,90.67437
8.57194E+12,95.123726
8.5648E+12,101.78262
8.55767E+12,96.968407
8.55054E+12,99.625221
8.5434E+12,101.64566
8.53627E+12,101.14394
8.52913E+12,99.741272
8.522E+12,100.56531
8.51486E+12,101.63619
8.50773E+12,105.43736
8.50059E+12,107.04205
8.49346E+12,116.78297
8.48633E+12,112.31117
8.47919E+12,114.87975
8.47206E+12,113.89597
8.46492E+12,116.66238
8.45779E+12,113.99113
8.45065E+12,114.56937
8.44352E+12,113.57161
8.43639E+12,114.94125
8.42925E+12,116.26989
8.42212E+12,117.0639
8.41498E+12,115.74079
8.40785E+12,110.69494
8.40071E+12,114.19073
8.39358E+12,115.28719
8.38644E+12,119.55043
8.37931E+12,121.71387
8.37218E+12,121.099
8.36504E+12,124.78499
8.35791E+12,127.70003
8.35077E+12,127.44795
8.34364E+12,128.65346
8.3365E+12,126.73759
8.32937E+12,130.26852
8.32224E+12,133.08617
8.3151E+12,130.87082
8.30797E+12,136.15955
8.30083E+12,133.11345
8.2937E+12,135.60872
8.28656E+12,142.09534
8.27943E+12,143.33859
8.27229E+12,140.1731
8.26516E+12,138.59703
8.25803E+12,141.0788
8.25089E+12,137.38045
8.24376E+12,138.53749
8.23662E+12,139.78464
8.22949E+12,138.72783
8.22235E+12,133.64397
8.21522E+12,137.73654
