ne(cm-2),Rxx(Ohm)
7.3805E+12,1.3922452
7.37337E+12,3.1613696
7.36623E+12,1.9629507
7.3591E+12,0.19688836
7.35196E+12,-0.97999078
7.34483E+12,3.5279667
7.33769E+12,2.16905
7.33056E+12,4.5261526
7.32342E+12,6.3291302
7.31629E+12,0.19798544
7.30916E+12,0.39062598
7.30202E+12,0.38907057
7.29489E+12,3.4842858
7.28775E+12,4.4654121
7.28062E+12,5.658401
7.27348E+12,-0.98742622
7.26635E+12,6.9790502
7.25922E+12,2.6311653
7.25208E+12,9.6950235
7.24495E+12,9.6899338
7.23781E+12,6.5002856
7.23068E+12,3.0328104
7.22354E+12,3.8395841
7.21641E+12,5.3893223
7.20927E+12,4.5745201
7.20214E+12,9.2147474
7.19501E+12,4.8027802
7.18787E+12,8.0846405
7.18074E+12,7.9958282
7.1736E+12,5.8769894
7.16647E+12,8.3984728
7.15933E+12,-0.584768
7.1522E+12,4.8950362
7.14507E+12,5.1139369
7.13793E+12,0.38945827
7.1308E+12,4.8633637
7.12366E+12,3.8409612
7.11653E+12,3.8259223
7.10939E+12,2.5101924
7.10226E+12,8.7481556
7.09512E+12,3.2298768
7.08799E+12,4.2417312
7.08086E+12,2.5214236
7.07372E+12,3.4670868
7.06659E+12,2.7167194
7.05945E+12,1.3590384
7.05232E+12,5.2212486
7.04518E+12,5.5776081
7.03805E+12,1.9214247
7.03092E+12,2.1335125
7.02378E+12,6.6740408
7.01665E+12,7.4704685
7.00951E+12,11.32808
7.00238E+12,0.39219382
6.99524E+12,5.6080089
6.98811E+12,10.626635
6.98098E+12,7.9139862
6.97384E+12,5.0783329
6.96671E+12,5.4421282
6.95957E+12,4.6769357
6.95244E+12,1.0301323
6.9453E+12,6.6172724
6.93817E+12,3.7163119
6.93103E+12,4.2284117
6.9239E+12,4.7468414
6.91677E+12,1.7982802
6.90963E+12,5.6583261
6.9025E+12,9.7860518
6.89536E+12,12.490283
6.88823E+12,5.0783329
6.88109E+12,1.8301052
6.87396E+12,7.4347467
6.86683E+12,8.9776325
6.85969E+12,13.167179
6.85256E+12,10.872677
6.84542E+12,8.3322382
6.83829E+12,11.031289
6.83115E+12,7.4347467
6.82402E+12,8.3939171
6.81688E+12,9.3599997
6.80975E+12,6.6738253
6.80262E+12,14.291175
6.79548E+12,10.907851
6.78835E+12,13.210553
6.78121E+12,18.660416
6.77408E+12,9.9049683
6.76694E+12,10.799709
6.75981E+12,7.5198617
6.75268E+12,11.310804
6.74554E+12,8.6006107
6.73841E+12,11.861102
6.73127E+12,12.696811
6.72414E+12,10.358258
6.717E+12,7.8596973
6.70987E+12,13.374967
6.70273E+12,7.8446817
6.6956E+12,18.785896
6.68847E+12,12.901039
6.68133E+12,14.585125
6.6742E+12,13.808939
6.66706E+12,8.4426346
6.65993E+12,14.620154
6.65279E+12,16.119043
6.64566E+12,12.089788
6.63853E+12,15.289948
6.63139E+12,14.820532
6.62426E+12,18.35445
6.61712E+12,18.521036
6.60999E+12,17.019735
6.60285E+12,15.238738
6.59572E+12,17.337282
6.58859E+12,15.105879
6.58145E+12,23.372545
6.57432E+12,34.587772
6.56718E+12,34.314682
6.56005E+12,36.272552
6.55291E+12,32.194557
6.54578E+12,34.842468
6.53864E+12,34.115742
6.53151E+12,31.098753
6.52438E+12,27.238619
6.51724E+12,30.553015
6.51011E+12,31.002022
6.50297E+12,37.668354
6.49584E+12,36.243687
6.4887E+12,33.5126
6.48157E+12,33.604362
6.47444E+12,39.376709
6.4673E+12,41.560303
6.46017E+12,42.914341
6.45303E+12,34.827457
6.4459E+12,29.058641
6.43876E+12,33.752052
6.43163E+12,35.864273
6.42449E+12,43.100388
6.41736E+12,36.902264
6.41023E+12,34.727348
6.40309E+12,36.920135
6.39596E+12,34.600857
6.38882E+12,42.205326
6.38169E+12,43.206078
6.37455E+12,45.232635
6.36742E+12,42.169945
6.36029E+12,39.238777
6.35315E+12,49.328239
6.34602E+12,48.29232
6.33888E+12,47.735489
6.33175E+12,52.939575
6.32461E+12,46.428585
6.31748E+12,47.813419
6.31034E+12,12.18546
6.30321E+12,50.056217
6.29608E+12,55.504765
6.28894E+12,52.655376
6.28181E+12,53.87904
6.27467E+12,52.570404
6.26754E+12,56.540878
6.2604E+12,64.251053
6.25327E+12,58.823826
6.24614E+12,62.397942
6.239E+12,64.629265
6.23187E+12,56.668446
6.22473E+12,57.79771
6.2176E+12,71.171547
6.21046E+12,84.988701
6.20333E+12,75.273262
6.1962E+12,77.562752
6.18906E+12,78.642967
6.18193E+12,93.301407
6.17479E+12,87.730377
6.16766E+12,95.576126
6.16052E+12,79.802658
6.15339E+12,82.467987
6.14625E+12,104.72906
6.13912E+12,101.07952
6.13199E+12,107.83655
6.12485E+12,101.30112
6.11772E+12,105.12006
6.11058E+12,108.60532
6.10345E+12,128.84203
6.09631E+12,124.41875
6.08918E+12,115.37017
6.08205E+12,128.0352
6.07491E+12,104.89004
6.06778E+12,120.034
6.06064E+12,117.52586
6.05351E+12,122.38854
6.04637E+12,145.40134
6.03924E+12,143.81148
6.0321E+12,134.80209
6.02497E+12,186.99158
6.01784E+12,176.31073
6.0107E+12,173.6619
6.00357E+12,184.73714
5.99643E+12,198.96066
5.9893E+12,224.43958
5.98216E+12,250.08446
5.97503E+12,245.07419
5.9679E+12,238.92053
5.96076E+12,241.16711
5.95363E+12,240.36295
5.94649E+12,239.55634
5.93936E+12,257.04163
5.93222E+12,294.69757
5.92509E+12,317.08734
5.91795E+12,319.03796
5.91082E+12,307.46628
5.90369E+12,313.09528
5.89655E+12,341.72501
5.88942E+12,377.61432
5.88228E+12,379.87326
5.87515E+12,396.88919
5.86801E+12,434.12219
5.86088E+12,438.78317
5.85375E+12,417.18466
5.84661E+12,434.67188
5.83948E+12,445.62509
5.83234E+12,489.58911
5.82521E+12,520.73871
5.81807E+12,563.11536
5.81094E+12,566.44324
5.8038E+12,582.91797
5.79667E+12,536.39087
5.78954E+12,602.41803
5.7824E+12,646.25238
5.77527E+12,602.05481
5.76813E+12,592.80786
5.761E+12,685.19873
5.75386E+12,740.703
5.74673E+12,660.65961
5.7396E+12,707.57172
5.73246E+12,743.40912
5.72533E+12,717.19177
5.71819E+12,758.15063
5.71106E+12,819.36523
5.70392E+12,805.3255
5.69679E+12,818.00787
5.68966E+12,775.33423
5.68252E+12,791.46228
5.67539E+12,833.63928
5.66825E+12,997.47052
5.66112E+12,1003.8076
5.65398E+12,925.6355
5.64685E+12,890.81995
5.63971E+12,985.35089
5.63258E+12,989.48956
5.62545E+12,972.28204
5.61831E+12,987.24329
5.61118E+12,1012.087
5.60404E+12,1025.3331
5.59691E+12,1056.5012
5.58977E+12,1028.4951
5.58264E+12,1079.8629
5.57551E+12,1188.5966
5.56837E+12,1168.92
5.56124E+12,1179.8051
5.5541E+12,1314.6025
5.54697E+12,1431.7648
5.53983E+12,1432.2565
5.5327E+12,1557.5933
5.52556E+12,1474.5491
5.51843E+12,1542.7166
5.5113E+12,1439.9551
5.50416E+12,1497.5284
5.49703E+12,1371.5018
5.48989E+12,1452.2091
5.48276E+12,1489.0049
5.47562E+12,1461.6205
5.46849E+12,1550.5878
5.46136E+12,1402.0938
5.45422E+12,1335.5624
5.44709E+12,1171.9375
5.43995E+12,1338.7279
5.43282E+12,1363.0968
5.42568E+12,1448.2943
5.41855E+12,1593.0563
5.41141E+12,1661.075
5.40428E+12,1806.198
5.39715E+12,1908.0636
5.39001E+12,1674.7816
5.38288E+12,1510.7871
5.37574E+12,1641.5408
5.36861E+12,1755.6464
5.36147E+12,1895.9402
5.35434E+12,1642.954
5.34721E+12,1620.7281
5.34007E+12,1482.4976
5.33294E+12,1690.504
5.3258E+12,1842.4641
5.31867E+12,2270.8188
5.31153E+12,2039.8656
5.3044E+12,2157.5125
5.29727E+12,2487.1665
5.29013E+12,2573.989
5.283E+12,2320.4414
5.27586E+12,2188.249
5.26873E+12,2572.7629
5.26159E+12,2785.1924
5.25446E+12,2584.1406
5.24732E+12,2368.4705
5.24019E+12,2318.6943
5.23306E+12,2177.5022
5.22592E+12,2394.1758
5.21879E+12,2521.22
5.21165E+12,2232.3264
5.20452E+12,2409.9709
5.19738E+12,2413.5469
5.19025E+12,2412.9399
5.18312E+12,2708.6411
5.17598E+12,2950.969
5.16885E+12,2845.5679
5.16171E+12,3318.1011
5.15458E+12,3561.1653
5.14744E+12,3363.7375
5.14031E+12,2699.3982
5.13317E+12,2325.0356
5.12604E+12,2220.8855
5.11891E+12,2443.3906
5.11177E+12,2616.2732
5.10464E+12,2448.5776
5.0975E+12,2355.7075
5.09037E+12,2420.0159
5.08323E+12,2476.0679
5.0761E+12,2718.1311
5.06897E+12,2980.0054
5.06183E+12,3075.2258
5.0547E+12,3069.5723
5.04756E+12,2970.9854
5.04043E+12,3096.2476
5.03329E+12,2964.6785
5.02616E+12,2617.593
5.01902E+12,2543.7358
5.01189E+12,2567.5422
5.00476E+12,2933.3323
4.99762E+12,2775.6638
4.99049E+12,3206.9023
4.98335E+12,3342.9255
4.97622E+12,2983.4417
4.96908E+12,3448.061
4.96195E+12,5032.2227
4.95482E+12,4073.2478
4.94768E+12,3900.4617
4.94055E+12,3400.4209
4.93341E+12,3379.6382
4.92628E+12,3855.5356
4.91914E+12,3974.8342
4.91201E+12,3925.4956
4.90488E+12,3563.1196
4.89774E+12,3794.2812
4.89061E+12,3022.1912
4.88347E+12,3089.8411
4.87634E+12,4011.1589
4.8692E+12,3798.5002
4.86207E+12,3851.4756
4.85493E+12,4010.0095
4.8478E+12,4537.0645
4.84067E+12,4486.0801
4.83353E+12,4226.3525
4.8264E+12,4721.3555
4.81926E+12,4592.2788
4.81213E+12,4929.938
