ne(cm-2),Rxx(Ohm)
9E+12,29.342754
8.99287E+12,28.978537
8.98573E+12,28.586321
8.9786E+12,29.931519
8.97146E+12,31.114742
8.96433E+12,31.297373
8.95719E+12,30.918833
8.95006E+12,35.357517
8.94293E+12,34.381664
8.93579E+12,38.588558
8.92866E+12,38.909428
8.92152E+12,35.372078
8.91439E+12,33.327446
8.90725E+12,34.988903
8.90012E+12,36.175148
8.89298E+12,36.143742
8.88585E+12,36.985233
8.87872E+12,36.003063
8.87158E+12,32.113014
8.86445E+12,37.056541
8.85731E+12,35.882282
8.85018E+12,37.403774
8.84304E+12,36.081085
8.83591E+12,35.465275
8.82878E+12,34.476784
8.82164E+12,33.486881
8.81451E+12,36.631752
8.80737E+12,37.407433
8.80024E+12,36.017445
8.7931E+12,31.869864
8.78597E+12,34.656288
8.77883E+12,33.392612
8.7717E+12,33.989727
8.76457E+12,34.57766
8.75743E+12,33.467396
8.7503E+12,32.837132
8.74316E+12,32.480888
8.73603E+12,31.820982
8.72889E+12,32.309883
8.72176E+12,37.669106
8.71463E+12,37.869366
8.70749E+12,38.419144
8.70036E+12,36.979103
8.69322E+12,35.417137
8.68609E+12,36.476566
8.67895E+12,37.658794
8.67182E+12,38.599201
8.66468E+12,37.951328
8.65755E+12,40.650986
8.65042E+12,39.234436
8.64328E+12,39.441227
8.63615E+12,39.338352
8.62901E+12,38.42215
8.62188E+12,40.00153
8.61474E+12,42.024719
8.60761E+12,42.92371
8.60048E+12,40.117275
8.59334E+12,40.732483
8.58621E+12,38.756382
8.57907E+12,40.975719
8.57194E+12,37.70499
8.5648E+12,39.482338
8.55767E+12,39.499317
8.55054E+12,38.878006
8.5434E+12,39.420872
8.53627E+12,39.216576
8.52913E+12,40.66156
8.522E+12,43.156376
8.51486E+12,40.639965
8.50773E+12,42.192696
8.50059E+12,44.638069
8.49346E+12,44.494961
8.48633E+12,42.544861
8.47919E+12,42.243534
8.47206E+12,43.421623
8.46492E+12,43.478222
8.45779E+12,42.155998
8.45065E+12,41.486797
8.44352E+12,41.450588
8.43639E+12,43.383816
8.42925E+12,47.24482
8.42212E+12,43.840485
8.41498E+12,42.700592
8.40785E+12,42.358944
8.40071E+12,42.570061
8.39358E+12,40.839622
8.38644E+12,43.345547
8.37931E+12,43.819721
8.37218E+12,43.76498
8.36504E+12,41.907833
8.35791E+12,43.689289
8.35077E+12,47.884132
8.34364E+12,46.909348
8.3365E+12,41.606876
8.32937E+12,42.035736
8.32224E+12,42.96344
8.3151E+12,43.536388
8.30797E+12,42.791599
8.30083E+12,46.292496
8.2937E+12,44.055481
8.28656E+12,47.191845
8.27943E+12,45.85376
8.27229E+12,49.848541
8.26516E+12,46.623405
8.25803E+12,48.915119
8.25089E+12,46.416035
8.24376E+12,46.221649
8.23662E+12,42.896965
8.22949E+12,45.165958
8.22235E+12,43.208958
8.21522E+12,41.099869
8.20809E+12,40.879128
8.20095E+12,41.933296
8.19382E+12,42.272343
8.18668E+12,41.228497
8.17955E+12,45.914261
8.17241E+12,48.717106
8.16528E+12,50.843418
8.15815E+12,50.102711
8.15101E+12,45.507816
8.14388E+12,45.666664
8.13674E+12,45.446049
8.12961E+12,48.894218
8.12247E+12,48.455128
8.11534E+12,49.510849
8.1082E+12,47.337978
8.10107E+12,46.826248
8.09394E+12,49.088337
8.0868E+12,47.996239
8.07967E+12,49.419685
8.07253E+12,53.4188
8.0654E+12,49.355103
8.05826E+12,48.34655
8.05113E+12,49.134308
8.044E+12,47.369762
8.03686E+12,46.987286
8.02973E+12,47.135288
