Rxx(Ohm),ne(cm-2)
387.25912,1.28E+13
385.65573,1.28E+13
388.30923,1.28E+13
388.51367,1.27E+13
391.53922,1.27E+13
392.95377,1.27E+13
398.59589,1.27E+13
397.33862,1.26E+13
399.18909,1.26E+13
395.65897,1.26E+13
401.20737,1.26E+13
402.23288,1.26E+13
407.83786,1.25E+13
408.77676,1.25E+13
412.28003,1.25E+13
408.86462,1.25E+13
410.06711,1.25E+13
410.36661,1.24E+13
411.36868,1.24E+13
407.58911,1.24E+13
405.06909,1.24E+13
405.06781,1.24E+13
405.49203,1.23E+13
403.70377,1.23E+13
404.65442,1.23E+13
407.66794,1.23E+13
412.43707,1.22E+13
408.21176,1.22E+13
408.93567,1.22E+13
408.98755,1.22E+13
407.82782,1.22E+13
407.29794,1.21E+13
408.97061,1.21E+13
414.58783,1.21E+13
419.61609,1.21E+13
421.98627,1.21E+13
428.75949,1.20E+13
428.24484,1.20E+13
426.85156,1.20E+13
421.20172,1.20E+13
421.24319,1.19E+13
421.46713,1.19E+13
425.85944,1.19E+13
419.87244,1.19E+13
424.78818,1.19E+13
430.52515,1.18E+13
428.00421,1.18E+13
423.74448,1.18E+13
424.57031,1.18E+13
424.97644,1.18E+13
430.85269,1.17E+13
435.93628,1.17E+13
442.45908,1.17E+13
440.98926,1.17E+13
442.79034,1.16E+13
434.20691,1.16E+13
437.06638,1.16E+13
441.84491,1.16E+13
440.68204,1.16E+13
439.73816,1.15E+13
446.59668,1.15E+13
453.1098,1.15E+13
454.43082,1.15E+13
449.69998,1.15E+13
448.74274,1.14E+13
455.05182,1.14E+13
466.37408,1.14E+13
461.58838,1.14E+13
464.67566,1.13E+13
468.22717,1.13E+13
468.41895,1.13E+13
473.83121,1.13E+13
464.27347,1.13E+13
466.41995,1.12E+13
471.43057,1.12E+13
468.90036,1.12E+13
464.76898,1.12E+13
462.49918,1.12E+13
459.16003,1.11E+13
456.88718,1.11E+13
468.14899,1.11E+13
474.07245,1.11E+13
478.97342,1.10E+13
477.14523,1.10E+13
472.18103,1.10E+13
469.36871,1.10E+13
465.65393,1.10E+13
474.24625,1.09E+13
481.28391,1.09E+13
487.48358,1.09E+13
484.79352,1.09E+13
487.80664,1.09E+13
491.63278,1.08E+13
492.19141,1.08E+13
491.47815,1.08E+13
494.54276,1.08E+13
501.12228,1.07E+13
513.98279,1.07E+13
525.99133,1.07E+13
537.5293,1.07E+13
538.39838,1.07E+13
536.08289,1.06E+13
544.81323,1.06E+13
543.289,1.06E+13
543.63885,1.06E+13
540.79395,1.06E+13
532.15045,1.05E+13
530.79059,1.05E+13
532.37634,1.05E+13
533.48267,1.05E+13
544.30603,1.04E+13
548.1582,1.04E+13
540.08295,1.04E+13
535.56433,1.04E+13
536.82336,1.04E+13
